Time(s),AU46-EQ6-psaNorthSouth(g),AU46-EQ6-psaEastWest(g),CO47-EQ18-psaNorthSouth(g),CO47-EQ18-psaEastWest(g),DR16-EQ24-psaNorthSouth(g),DR16-EQ24-psaEastWest(g),DX37-EQ25-psaNorthSouth(g),DX37-EQ25-psaEastWest(g),EO30-EQ26-psaNorthSouth(g),EO30-EQ26-psaEastWest(g),GR27-EQ31-psaNorthSouth(g),GR27-EQ31-psaEastWest(g),ME52-EQ39-psaNorthSouth(g),ME52-EQ39-psaEastWest(g),Median-ZoneII-psaNorthSouth(g),StandardDev-ZoneII-psaNorthSouth(g),Median-ZoneII-psaEastWest(g),StandardDev-ZoneII-psaEastWest(g)
0,,,,,,,,,,,,,,,,,,
0.01,,,,,,,,,,,,,,,,,,
0.02,0.079306037,0.097245213,0.073840426,0.096450382,0.072451037,0.078818082,0.191435154,0.166138426,0.069314779,0.084224753,0.086872919,0.122463177,0.06429021,0.073969423,0.073840426,0.04151272,0.096450382,0.029811149
0.03,0.080056514,0.098104827,0.074233557,0.096469919,0.072921463,0.07882752,0.19692493,0.176108602,0.069737285,0.084154752,0.08648091,0.122645225,0.064711118,0.074473159,0.074233557,0.043263535,0.096469919,0.032813248
0.04,0.079236486,0.098386972,0.074817143,0.097049523,0.073305815,0.079513316,0.191287065,0.170827909,0.069640269,0.085747035,0.086999445,0.122512805,0.065240884,0.07476337,0.074817143,0.041239444,0.097049523,0.030882186
0.05,0.081925768,0.098470439,0.076580662,0.098538351,0.073606041,0.080220164,0.197452812,0.149259381,0.071273432,0.089416187,0.089858885,0.123058047,0.065108045,0.074581364,0.076580662,0.042987243,0.098470439,0.024159579
0.06,0.082048332,0.102134803,0.074701054,0.102541419,0.073903828,0.083914324,0.192883803,0.163782486,0.075206686,0.086772998,0.089862936,0.123463587,0.068910289,0.081754654,0.075206686,0.040877725,0.102134803,0.027032222
0.07,0.08097605,0.101899496,0.085998262,0.107160593,0.080483794,0.084965231,0.196435076,0.177241271,0.071064818,0.097222969,0.092178163,0.12394232,0.067994177,0.086441864,0.08097605,0.041529692,0.101899496,0.029576019
0.08,0.083067603,0.105832493,0.097295319,0.107438312,0.082460103,0.079240484,0.198080974,0.176422137,0.075221107,0.097569646,0.094121786,0.125217991,0.074459083,0.079061609,0.083067603,0.040566116,0.105832493,0.030995797
0.09,0.087886239,0.113261949,0.107553599,0.105866983,0.080748289,0.07998423,0.196892345,0.174692199,0.083698705,0.094975435,0.091936435,0.126640927,0.074019877,0.091183488,0.087886239,0.039450569,0.105866983,0.029108364
0.1,0.089374237,0.109488709,0.112672343,0.11867937,0.081951342,0.089535907,0.204396694,0.159391849,0.076688624,0.093985139,0.095101541,0.127583999,0.074560117,0.083868831,0.089374237,0.042325378,0.109488709,0.024377962
0.11,0.09224069,0.105440348,0.121467209,0.142406306,0.082335116,0.088144084,0.212942195,0.149806754,0.095629786,0.110937621,0.090645931,0.127739728,0.087041295,0.093570484,0.09224069,0.042921682,0.110937621,0.022003114
0.12,0.096390938,0.124160343,0.109831115,0.147356239,0.084503065,0.08826548,0.226766293,0.156396748,0.10638956,0.119836108,0.098659816,0.135070297,0.09095898,0.102117524,0.098659816,0.045831326,0.124160343,0.022318827
0.13,0.118924286,0.137575844,0.125849501,0.171789155,0.084178248,0.092744282,0.224651441,0.1537515,0.123251127,0.151369248,0.111632663,0.146037965,0.098061489,0.103129206,0.118924286,0.042296294,0.146037965,0.02641488
0.14,0.167790409,0.132016508,0.142492168,0.186321644,0.083655485,0.090509401,0.229159457,0.178664142,0.132078928,0.143659026,0.10982742,0.139050356,0.083541093,0.111839179,0.132078928,0.047692499,0.139050356,0.031533161
0.15,0.242975529,0.156039672,0.164727697,0.22738775,0.078278946,0.103273663,0.25988135,0.174714464,0.127483291,0.128096022,0.117551462,0.139290454,0.083850673,0.090502537,0.127483291,0.067535511,0.139290454,0.042794062
0.16,0.192042309,0.170237994,0.133769156,0.205095208,0.083318116,0.103339214,0.266415891,0.180491203,0.128911379,0.119814691,0.129761746,0.138508073,0.087455132,0.084779047,0.129761746,0.059379748,0.138508073,0.040573528
0.17,0.150944865,0.18604994,0.1209086,0.196197073,0.095098186,0.096489252,0.287462114,0.183772048,0.111780754,0.129314223,0.112317922,0.136467656,0.085208829,0.083639253,0.112317922,0.06411191,0.136467656,0.041825216
