Time(s),AE02-EQ1-psaNorthSouth(g),AE02-EQ1-psaEastWest(g),AU11-EQ5-psaNorthSouth(g),AU11-EQ5-psaEastWest(g),CE23-EQ12-psaNorthSouth(g),CE23-EQ12-psaEastWest(g),CE32-EQ13-psaNorthSouth(g),CE32-EQ13-psaEastWest(g),CP28-EQ20-psaNorthSouth(g),CP28-EQ20-psaEastWest(g),DM12-EQ23-psaNorthSouth(g),DM12-EQ23-psaEastWest(g),NZ20-EQ43-psaNorthSouth(g),NZ20-EQ43-psaEastWest(g),NZ31-EQ44-psaNorthSouth(g),NZ31-EQ44-psaEastWest(g),PD42-EQ46-psaNorthSouth(g),PD42-EQ46-psaEastWest(g),TH35-EQ52-psaNorthSouth(g),TH35-EQ52-psaEastWest(g),XO36-EQ60-psaNorthSouth(g),XO36-EQ60-psaEastWest(g)
0.000,,,,,,,,,,,,,0.158134006,0.180725698,,,,,,,0.140335933,0.242206626
0.010,,,,,,,,,,,,,0.159247594,0.183758614,,,,,,,0.140602783,0.246371753
0.020,0.099226316,0.117917809,0.073702336,0.092154249,0.05354736,0.061290862,0.082183716,0.078699643,0.092952028,0.142852511,0.089425836,0.092864113,0.15842788,0.187709144,0.112332395,0.099587393,0.085613131,0.098383566,0.194012208,0.192684611,0.140356351,0.248517513
0.030,0.099771956,0.118535532,0.074032662,0.092474867,0.053568258,0.061243983,0.082233506,0.078590239,0.093643809,0.145898143,0.089527776,0.092823428,0.158637778,0.23055893,0.112247339,0.099756967,0.085388367,0.09887057,0.193653018,0.195683051,0.140497676,0.275354557
0.040,0.104076113,0.121175758,0.074009705,0.092469972,0.053507427,0.061151354,0.082933473,0.078462552,0.096418002,0.151848195,0.089651412,0.095922669,0.159796035,0.362970897,0.112335094,0.099759677,0.08726535,0.099272936,0.195679056,0.19206175,0.140668379,0.315973568
0.050,0.10980795,0.122918776,0.073633393,0.092759628,0.054747541,0.06212102,0.08320052,0.078986084,0.094234506,0.160153665,0.089489187,0.096813267,0.16057105,0.458472875,0.112568664,0.100031161,0.086510954,0.101095308,0.205702726,0.206223272,0.140523272,0.337379531
0.060,0.107316485,0.122911041,0.07368153,0.093475245,0.053556634,0.062401076,0.084170749,0.079580004,0.105236308,0.150984797,0.090765141,0.100197451,0.163351794,0.441415291,0.112167659,0.100322291,0.089199623,0.103749716,0.208086881,0.215951795,0.14256581,0.368000866
0.070,0.105098826,0.121511483,0.073756562,0.09460898,0.05402164,0.063183914,0.082239202,0.078911838,0.10451693,0.158706215,0.089244111,0.097270959,0.16581844,0.416577819,0.112463005,0.100288909,0.089764608,0.118126704,0.208218393,0.22422618,0.144559827,0.381158043
0.080,0.112506947,0.121604042,0.074024179,0.095749949,0.053281349,0.063947014,0.083952848,0.080120268,0.111900644,0.174086146,0.091288476,0.100039406,0.17254949,0.439492895,0.113631361,0.1004958,0.092092625,0.116230241,0.211332583,0.225371215,0.1467684,0.39533579
0.090,0.114052993,0.126923725,0.074406067,0.100006476,0.056311044,0.065234848,0.083630824,0.079262827,0.124023338,0.186680603,0.096108795,0.106477819,0.17561419,0.303127034,0.116860204,0.100259644,0.103652976,0.109092971,0.208790319,0.227849441,0.145255963,0.38839629
