T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic),NZS 1170.5 Spectrum
0,0.04,0.08,0.08,0.16,0.1,0.2,0.11,0.22,0.1,0.2,0.1,0.2,0.448
0.1,0.1,0.2,0.2,0.4,0.156603774,0.313207547,0.15,0.3,0.124,0.248,0.123529412,0.247058824,1.2
0.2,0.16,0.32,0.32,0.64,0.213207547,0.426415094,0.19,0.38,0.148,0.296,0.147058824,0.294117647,1.2
0.3,0.16,0.32,0.32,0.64,0.269811321,0.539622642,0.23,0.46,0.172,0.344,0.170588235,0.341176471,1.2
0.4,0.16,0.32,0.32,0.64,0.326415094,0.652830189,0.27,0.54,0.196,0.392,0.194117647,0.388235294,1.2
0.5,0.16,0.32,0.32,0.64,0.383018868,0.766037736,0.31,0.62,0.22,0.44,0.217647059,0.435294118,1.2
0.6,0.16,0.32,0.32,0.64,0.4,0.8,0.35,0.7,0.244,0.488,0.241176471,0.482352941,1.2
0.7,0.16,0.32,0.32,0.64,0.4,0.8,0.39,0.78,0.268,0.536,0.264705882,0.529411765,1.010982529
0.8,0.16,0.32,0.32,0.64,0.4,0.8,0.43,0.86,0.292,0.584,0.288235294,0.576470588,0.914638947
0.9,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.316,0.632,0.3,0.6,0.837308112
1,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.34,0.68,0.3,0.6,0.773690351
1.1,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.364,0.728,0.3,0.6,0.720315345
1.2,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.388,0.776,0.3,0.6,0.67480959
1.3,0.16,0.32,0.32,0.64,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6,0.635491383
1.4,0.154285714,0.308571429,0.304890297,0.609780593,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6,0.601133808
1.5,0.144,0.288,0.278158615,0.556317231,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6,0.570819415
1.6,0.135,0.27,0.255278544,0.510557087,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6,0.54784
1.7,0.127058824,0.254117647,0.235503207,0.471006413,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6,0.527698824
1.8,0.12,0.24,0.218263673,0.436527345,0.4,0.8,0.45,0.9,0.4,0.8,0.3,0.6,0.509795556
1.9,0.113684211,0.227368421,0.203119492,0.406238983,0.35900277,0.71800554,0.45,0.9,0.4,0.8,0.3,0.6,0.493776842
2,0.108,0.216,0.189724753,0.379449506,0.324,0.648,0.45,0.9,0.4,0.8,0.3,0.6,0.47936
2.1,0.102857143,0.205714286,0.177804287,0.355608574,0.293877551,0.587755102,0.45,0.9,0.4,0.8,0.3,0.6,0.46631619
2.2,0.098181818,0.196363636,0.167136662,0.334273324,0.267768595,0.53553719,0.45,0.9,0.4,0.8,0.3,0.6,0.454458182
2.3,0.093913043,0.187826087,0.157541824,0.315083647,0.244990548,0.489981096,0.45,0.9,0.4,0.8,0.3,0.6,0.443631304
2.4,0.09,0.18,0.148871971,0.297743942,0.225,0.45,0.45,0.9,0.4,0.8,0.3,0.6,0.433706667
2.5,0.0864,0.1728,0.141004729,0.282009458,0.20736,0.41472,0.45,0.9,0.4,0.8,0.3,0.6,0.424576
2.6,0.083076923,0.166153846,0.133837969,0.267675938,0.191715976,0.383431953,0.45,0.9,0.4,0.8,0.3,0.6,0.416147692
2.7,0.08,0.16,0.127285837,0.254571675,0.177777778,0.355555556,0.45,0.9,0.4,0.8,0.3,0.6,0.408343704
2.8,0.077142857,0.154285714,0.121275677,0.242551355,0.165306122,0.330612245,0.45,0.9,0.4,0.8,0.3,0.6,0.401097143
2.9,0.074482759,0.148965517,0.115745617,0.231491233,0.154102259,0.308204518,0.45,0.9,0.4,0.8,0.3,0.6,0.394350345
3,0.072,0.144,0.110642663,0.221285327,0.144,0.288,0.45,0.9,0.4,0.8,0.3,0.6,0.388053333
3.1,0.069677419,0.139354839,0.105921187,0.211842373,0.134859521,0.269719043,0.421436004,0.842872008,0.4,0.8,0.3,0.6,0.369834755
3.2,0.0675,0.135,0.101541697,0.203083395,0.1265625,0.253125,0.395507813,0.791015625,0.4,0.8,0.3,0.6,0.3531
3.3,0.065454545,0.130909091,0.097469862,0.194939724,0.119008264,0.238016529,0.371900826,0.743801653,0.4,0.8,0.3,0.6,0.337683747
