T(s),Zone I (overstrength 2),Zone I (elastic),Zone II (overstrength 2),Zone II (elastic),Zone IIIa (overstrength 2),Zone IIIa (elastic),Zone IIIb (overstrength 2),Zone IIIb (elastic),Zone IIIc (overstrength 2),Zone IIIc (elastic),Zone IIId (overstrength 2),Zone IIId (elastic)
0,0.04,0.08,0.08,0.16,0.1,0.2,0.11,0.22,0.1,0.2,0.1,0.2
0.01,0.046,0.092,0.092,0.184,0.105660377,0.211320755,0.114,0.228,0.1024,0.2048,0.102352941,0.204705882
0.02,0.052,0.104,0.104,0.208,0.111320755,0.222641509,0.118,0.236,0.1048,0.2096,0.104705882,0.209411765
0.03,0.058,0.116,0.116,0.232,0.116981132,0.233962264,0.122,0.244,0.1072,0.2144,0.107058824,0.214117647
0.04,0.064,0.128,0.128,0.256,0.122641509,0.245283019,0.126,0.252,0.1096,0.2192,0.109411765,0.218823529
0.05,0.07,0.14,0.14,0.28,0.128301887,0.256603774,0.13,0.26,0.112,0.224,0.111764706,0.223529412
0.06,0.076,0.152,0.152,0.304,0.133962264,0.267924528,0.134,0.268,0.1144,0.2288,0.114117647,0.228235294
0.07,0.082,0.164,0.164,0.328,0.139622642,0.279245283,0.138,0.276,0.1168,0.2336,0.116470588,0.232941176
0.08,0.088,0.176,0.176,0.352,0.145283019,0.290566038,0.142,0.284,0.1192,0.2384,0.118823529,0.237647059
0.09,0.094,0.188,0.188,0.376,0.150943396,0.301886792,0.146,0.292,0.1216,0.2432,0.121176471,0.242352941
0.1,0.1,0.2,0.2,0.4,0.156603774,0.313207547,0.15,0.3,0.124,0.248,0.123529412,0.247058824
0.11,0.106,0.212,0.212,0.424,0.162264151,0.324528302,0.154,0.308,0.1264,0.2528,0.125882353,0.251764706
0.12,0.112,0.224,0.224,0.448,0.167924528,0.335849057,0.158,0.316,0.1288,0.2576,0.128235294,0.256470588
0.13,0.118,0.236,0.236,0.472,0.173584906,0.347169811,0.162,0.324,0.1312,0.2624,0.130588235,0.261176471
0.14,0.124,0.248,0.248,0.496,0.179245283,0.358490566,0.166,0.332,0.1336,0.2672,0.132941176,0.265882353
0.15,0.13,0.26,0.26,0.52,0.18490566,0.369811321,0.17,0.34,0.136,0.272,0.135294118,0.270588235
0.16,0.136,0.272,0.272,0.544,0.190566038,0.381132075,0.174,0.348,0.1384,0.2768,0.137647059,0.275294118
0.17,0.142,0.284,0.284,0.568,0.196226415,0.39245283,0.178,0.356,0.1408,0.2816,0.14,0.28
0.18,0.148,0.296,0.296,0.592,0.201886792,0.403773585,0.182,0.364,0.1432,0.2864,0.142352941,0.284705882
0.19,0.154,0.308,0.308,0.616,0.20754717,0.41509434,0.186,0.372,0.1456,0.2912,0.144705882,0.289411765
0.2,0.16,0.32,0.32,0.64,0.213207547,0.426415094,0.19,0.38,0.148,0.296,0.147058824,0.294117647
0.21,0.16,0.32,0.32,0.64,0.218867925,0.437735849,0.194,0.388,0.1504,0.3008,0.149411765,0.298823529
0.22,0.16,0.32,0.32,0.64,0.224528302,0.449056604,0.198,0.396,0.1528,0.3056,0.151764706,0.303529412
0.23,0.16,0.32,0.32,0.64,0.230188679,0.460377358,0.202,0.404,0.1552,0.3104,0.154117647,0.308235294
0.24,0.16,0.32,0.32,0.64,0.235849057,0.471698113,0.206,0.412,0.1576,0.3152,0.156470588,0.312941176
0.25,0.16,0.32,0.32,0.64,0.241509434,0.483018868,0.21,0.42,0.16,0.32,0.158823529,0.317647059
0.26,0.16,0.32,0.32,0.64,0.247169811,0.494339623,0.214,0.428,0.1624,0.3248,0.161176471,0.322352941
0.27,0.16,0.32,0.32,0.64,0.252830189,0.505660377,0.218,0.436,0.1648,0.3296,0.163529412,0.327058824
0.28,0.16,0.32,0.32,0.64,0.258490566,0.516981132,0.222,0.444,0.1672,0.3344,0.165882353,0.331764706
0.29,0.16,0.32,0.32,0.64,0.264150943,0.528301887,0.226,0.452,0.1696,0.3392,0.168235294,0.336470588
0.3,0.16,0.32,0.32,0.64,0.269811321,0.539622642,0.23,0.46,0.172,0.344,0.170588235,0.341176471
0.31,0.16,0.32,0.32,0.64,0.275471698,0.550943396,0.234,0.468,0.1744,0.3488,0.172941176,0.345882353
0.32,0.16,0.32,0.32,0.64,0.281132075,0.562264151,0.238,0.476,0.1768,0.3536,0.175294118,0.350588235
0.33,0.16,0.32,0.32,0.64,0.286792453,0.573584906,0.242,0.484,0.1792,0.3584,0.177647059,0.355294118
0.34,0.16,0.32,0.32,0.64,0.29245283,0.58490566,0.246,0.492,0.1816,0.3632,0.18,0.36
0.35,0.16,0.32,0.32,0.64,0.298113208,0.596226415,0.25,0.5,0.184,0.368,0.182352941,0.364705882
0.36,0.16,0.32,0.32,0.64,0.303773585,0.60754717,0.254,0.508,0.1864,0.3728,0.184705882,0.369411765
0.37,0.16,0.32,0.32,0.64,0.309433962,0.618867925,0.258,0.516,0.1888,0.3776,0.187058824,0.374117647
0.38,0.16,0.32,0.32,0.64,0.31509434,0.630188679,0.262,0.524,0.1912,0.3824,0.189411765,0.378823529
0.39,0.16,0.32,0.32,0.64,0.320754717,0.641509434,0.266,0.532,0.1936,0.3872,0.191764706,0.383529412
0.4,0.16,0.32,0.32,0.64,0.326415094,0.652830189,0.27,0.54,0.196,0.392,0.194117647,0.388235294
0.41,0.16,0.32,0.32,0.64,0.332075472,0.664150943,0.274,0.548,0.1984,0.3968,0.196470588,0.392941176
0.42,0.16,0.32,0.32,0.64,0.337735849,0.675471698,0.278,0.556,0.2008,0.4016,0.198823529,0.397647059
0.43,0.16,0.32,0.32,0.64,0.343396226,0.686792453,0.282,0.564,0.2032,0.4064,0.201176471,0.402352941
0.44,0.16,0.32,0.32,0.64,0.349056604,0.698113208,0.286,0.572,0.2056,0.4112,0.203529412,0.407058824
0.45,0.16,0.32,0.32,0.64,0.354716981,0.709433962,0.29,0.58,0.208,0.416,0.205882353,0.411764706
0.46,0.16,0.32,0.32,0.64,0.360377358,0.720754717,0.294,0.588,0.2104,0.4208,0.208235294,0.416470588
0.47,0.16,0.32,0.32,0.64,0.366037736,0.732075472,0.298,0.596,0.2128,0.4256,0.210588235,0.421176471
0.48,0.16,0.32,0.32,0.64,0.371698113,0.743396226,0.302,0.604,0.2152,0.4304,0.212941176,0.425882353
0.49,0.16,0.32,0.32,0.64,0.377358491,0.754716981,0.306,0.612,0.2176,0.4352,0.215294118,0.430588235
0.5,0.16,0.32,0.32,0.64,0.383018868,0.766037736,0.31,0.62,0.22,0.44,0.217647059,0.435294118
0.51,0.16,0.32,0.32,0.64,0.388679245,0.777358491,0.314,0.628,0.2224,0.4448,0.22,0.44
0.52,0.16,0.32,0.32,0.64,0.394339623,0.788679245,0.318,0.636,0.2248,0.4496,0.222352941,0.444705882
0.53,0.16,0.32,0.32,0.64,0.4,0.8,0.322,0.644,0.2272,0.4544,0.224705882,0.449411765
0.54,0.16,0.32,0.32,0.64,0.4,0.8,0.326,0.652,0.2296,0.4592,0.227058824,0.454117647
0.55,0.16,0.32,0.32,0.64,0.4,0.8,0.33,0.66,0.232,0.464,0.229411765,0.458823529
0.56,0.16,0.32,0.32,0.64,0.4,0.8,0.334,0.668,0.2344,0.4688,0.231764706,0.463529412
