Time(s),AO24-EQ3-psaNorthSouth(g),AO24-EQ3-psaEastWest(g),CH84-EQ14-psaNorthSouth(g),CH84-EQ14-psaEastWest(g),ES57-EQ27-psaNorthSouth(g),ES57-EQ27-psaEastWest(g),IB22-EQ33-psaNorthSouth(g),IB22-EQ33-psaEastWest(g),JC54-EQ35-psaNorthSouth(g),JC54-EQ35-psaEastWest(g),LI33-EQ36-psaNorthSouth(g),LI33-EQ36-psaEastWest(g),LV17-EQ38-psaNorthSouth(g),LV17-EQ38-psaEastWest(g),MI15-EQ40-psaNorthSouth(g),MI15-EQ40-psaEastWest(g),SI53-EQ50-psaNorthSouth(g),SI53-EQ50-psaEastWest(g),UC44-EQ56-psaNorthSouth(g),UC44-EQ56-psaEastWest(g)
0.000,,,,,,,,,,,,,,,,,,,,
0.010,,,,,,,,,,,,,,,,,,,,
0.020,0.108867602,0.122231101,0.152569537,0.230782269,0.072135969,0.08600407,0.121778249,0.165080166,0.225899947,0.413459058,0.14092299,0.22243903,0.125517865,0.106382025,0.211270408,0.171450287,0.131451275,0.181287687,0.127921921,0.127692099
0.030,0.108761581,0.122151331,0.153698753,0.232110802,0.07209872,0.086247031,0.121941312,0.165569237,0.22580571,0.332370597,0.14107033,0.278006787,0.125926136,0.106561137,0.211294153,0.146319542,0.131921416,0.181495081,0.128258409,0.128339309
0.040,0.109069218,0.122453958,0.155818192,0.231564212,0.072533979,0.085932742,0.122479249,0.165308461,0.22883217,0.353620573,0.141657085,0.270732441,0.12656708,0.106065915,0.211626281,0.168795277,0.133782351,0.181966949,0.128992694,0.128747973
0.050,0.109806603,0.122782821,0.159040102,0.231088219,0.072528292,0.086794724,0.122688105,0.172782353,0.228461097,0.302112312,0.141747219,0.233402026,0.126711063,0.107829965,0.211965035,0.151952005,0.134290358,0.185113264,0.1296406,0.13038211
0.060,0.110174599,0.122704063,0.156889472,0.234032184,0.074096445,0.08883948,0.123484309,0.170517223,0.231036812,0.370478432,0.141645781,0.237846397,0.127382723,0.108201164,0.211938288,0.146500671,0.13507197,0.183687495,0.129794214,0.133415451
0.070,0.112590444,0.124350523,0.161461013,0.236940074,0.074583052,0.088729772,0.123653558,0.180591513,0.234957491,0.387343298,0.142491811,0.218647616,0.12800111,0.107106999,0.212438039,0.161133604,0.134384374,0.184428201,0.132126491,0.132289022
0.080,0.114046385,0.123076959,0.16766976,0.249413465,0.073864332,0.085085183,0.124811178,0.188466336,0.241928974,0.384684212,0.142703984,0.187619589,0.134963085,0.107090529,0.21165586,0.176002078,0.141633964,0.190355023,0.132048138,0.136069034
0.090,0.120427252,0.125533086,0.166751463,0.249336489,0.074839435,0.090385899,0.129054956,0.206175404,0.261065507,0.373342037,0.14426639,0.173661578,0.13215812,0.108919884,0.21266666,0.180652209,0.146945503,0.186845019,0.136465228,0.133060746
0.100,0.119701827,0.122452397,0.163130242,0.241306784,0.077152198,0.091599473,0.144296495,0.208775061,0.274720337,0.387830049,0.143792496,0.149001344,0.138116565,0.108458332,0.212910819,0.163602343,0.154169557,0.185202926,0.129347127,0.138524928
0.110,0.123974609,0.128920201,0.171502834,0.253639749,0.087798908,0.099495309,0.157723899,0.264976108,0.284109309,0.409194692,0.14334465,0.148785113,0.127986304,0.112512738,0.212831842,0.162471379,0.161456915,0.20870396,0.131784609,0.147859613
0.120,0.122615262,0.127501063,0.210938332,0.255840928,0.085857426,0.116334802,0.162526663,0.348398803,0.270601918,0.388981108,0.147252284,0.151437299,0.138417155,0.108972906,0.213595315,0.163816681,0.151684934,0.251668048,0.127207646,0.163718566
0.130,0.128362745,0.135889886,0.248827118,0.272242629,0.09372632,0.132637356,0.182095111,0.41528595,0.2913782,0.380436789,0.154832472,0.152942299,0.151912141,0.111903627,0.223172598,0.164419095,0.151737767,0.286556405,0.14784276,0.167237871
0.140,0.13746902,0.13982603,0.21390844,0.284237278,0.086879403,0.141693215,0.209468714,0.40120364,0.273125982,0.389518133,0.155859086,0.153357771,0.164322086,0.12033642,0.225229738,0.160801903,0.17387366,0.305761401,0.161181087,0.151362039
0.150,0.16080274,0.147666932,0.225521213,0.338156267,0.100323489,0.157164228,0.242454952,0.398759829,0.28605758,0.385314927,0.154698369,0.150018534,0.144677902,0.134872163,0.225429846,0.164867036,0.223241707,0.314892846,0.181539507,0.150525782
0.160,0.177117239,0.161814266,0.242433681,0.432697677,0.116502825,0.157166343,0.238903618,0.447336918,0.313238326,0.412399079,0.157254885,0.150852993,0.136300349,0.130691889,0.230755954,0.188155377,0.215002901,0.309907676,0.195439024,0.155662596
0.170,0.168248469,0.18418387,0.264965568,0.398054076,0.13382081,0.141786045,0.277230339,0.476811155,0.311100146,0.43548865,0.167250045,0.14641032,0.144343452,0.127251323,0.263220455,0.198360307,0.20504297,0.337962627,0.178509339,0.202272649
0.180,0.167279237,0.190048146,0.267664559,0.361909095,0.161319217,0.117384822,0.245338625,0.423177799,0.342001772,0.401936369,0.160887478,0.131379769,0.155414241,0.139882298,0.290594269,0.231680686,0.218419027,0.309804077,0.184951035,0.23554402
0.190,0.185686475,0.208100945,0.271842175,0.367883842,0.148515406,0.10503665,0.194623694,0.317021828,0.346827454,0.375560908,0.164193194,0.15063866,0.158389536,0.136050853,0.314936777,0.239148623,0.232283447,0.288387105,0.183962484,0.263102381
0.200,0.219497253,0.232991442,0.270413754,0.368571544,0.132198721,0.111335502,0.187398576,0.276345093,0.393515304,0.389315367,0.163329639,0.150137876,0.161250628,0.1246908,0.287142214,0.237654132,0.211467567,0.310983064,0.188831121,0.23247412
0.210,0.196535614,0.206610644,0.295625941,0.451001719,0.121231358,0.102479101,0.179018124,0.28072733,0.474587119,0.457688663,0.16773863,0.157990577,0.152360438,0.112041262,0.269687975,0.192755054,0.185861908,0.323132142,0.181803618,0.197585358
0.220,0.213188175,0.19485791,0.29448249,0.486159428,0.103047954,0.093957416,0.194294817,0.298626256,0.563965928,0.448217283,0.164905053,0.167502752,0.142453539,0.120351267,0.253799406,0.224114314,0.178108601,0.348813334,0.179752897,0.18038047
0.230,0.251740607,0.176833921,0.313816387,0.472141088,0.101685463,0.090164444,0.21480971,0.285732724,0.595002233,0.390556574,0.167621689,0.170188475,0.148858892,0.134635704,0.254136306,0.269834133,0.175135915,0.395482131,0.183425085,0.198403496
0.240,0.241459287,0.173018158,0.259872395,0.405190593,0.092476026,0.093351172,0.217238965,0.240399269,0.521091125,0.372249093,0.170693084,0.191878611,0.143175104,0.140620719,0.256293891,0.280554759,0.1836509,0.386065568,0.204023397,0.207852308
0.250,0.198925204,0.177243236,0.232545806,0.345293829,0.091432082,0.096682435,0.215847244,0.20100954,0.445230856,0.414106451,0.169334337,0.20903407,0.144343729,0.140804874,0.263857762,0.266796219,0.164939254,0.348521189,0.210584759,0.225709171
0.260,0.16586498,0.178995047,0.225417104,0.34594577,0.084731902,0.101574503,0.205815542,0.183302467,0.378849374,0.420334304,0.210508125,0.229956474,0.14841203,0.134239887,0.268492315,0.245255198,0.186558878,0.315918387,0.216484923,0.229047974
0.270,0.154402281,0.170898554,0.239306323,0.377832632,0.082857639,0.097555761,0.19420595,0.185331479,0.371419119,0.404415702,0.229524758,0.273252152,0.149223113,0.137121498,0.260034002,0.222459429,0.204380153,0.276995188,0.25149413,0.223061452
0.280,0.174583146,0.16141175,0.250029362,0.398375031,0.091100544,0.10062042,0.188990309,0.187298227,0.393913041,0.425230934,0.238268136,0.294693626,0.149409437,0.151650694,0.243609221,0.196392663,0.213284716,0.246590448,0.254326908,0.218833752
0.290,0.193489841,0.156940118,0.296723819,0.379336564,0.088157102,0.106059178,0.173341711,0.190780371,0.395853394,0.45464209,0.223391303,0.286035446,0.144950331,0.153620471,0.232914758,0.193751592,0.220734953,0.227646816,0.221693452,0.249367752
0.300,0.208521245,0.155394102,0.35341526,0.36495924,0.087145642,0.105161223,0.176260333,0.191377544,0.402500008,0.425758661,0.198727576,0.262028048,0.14599631,0.149934652,0.252904279,0.205180101,0.234166039,0.214547426,0.191144535,0.28603765
0.310,0.21887637,0.15647845,0.37571471,0.352605972,0.091676521,0.099587136,0.177041568,0.189401744,0.428119392,0.424017848,0.188377281,0.263112044,0.14624063,0.144886679,0.272292221,0.219603283,0.262504278,0.240927792,0.207311989,0.318007032
0.320,0.221711939,0.168400129,0.373324877,0.426706749,0.095381832,0.095624791,0.188594245,0.20215053,0.439557083,0.45599037,0.19928295,0.28120733,0.142545664,0.140650733,0.300754089,0.216472984,0.288964461,0.26874509,0.234912714,0.31273128
0.330,0.213652097,0.188074191,0.369914965,0.467755205,0.095425451,0.098438272,0.213550864,0.229877619,0.418078505,0.521968189,0.211112927,0.315769888,0.145564922,0.159444886,0.341671748,0.215105103,0.307275943,0.281594864,0.262314666,0.310560159
0.340,0.197799814,0.197327262,0.383352955,0.464743605,0.098555917,0.104182346,0.234946975,0.238589417,0.380628682,0.559160846,0.21907508,0.346211315,0.145709308,0.187398568,0.363594997,0.21016039,0.318811984,0.267518713,0.262159254,0.34654109
0.350,0.202448089,0.199315127,0.440456903,0.45642003,0.101372209,0.110687855,0.239470352,0.232935816,0.365871372,0.542016734,0.226176984,0.393318708,0.136977048,0.194113256,0.355299654,0.228767678,0.329806959,0.242154492,0.238585193,0.34327388
0.360,0.19630284,0.202914451,0.487194916,0.470347624,0.099724482,0.116351055,0.24018875,0.232933488,0.354515025,0.515701201,0.222595628,0.459841172,0.136743348,0.184748737,0.34942309,0.235273221,0.324902468,0.253414164,0.233418228,0.301582602
0.370,0.182656068,0.193133085,0.4597531,0.481287351,0.097343652,0.11822876,0.231555183,0.226684966,0.354268279,0.482123019,0.24287559,0.487135373,0.146003673,0.180541715,0.35306927,0.227233668,0.303658678,0.268048552,0.229787338,0.316651441
0.380,0.171197903,0.204236972,0.431234651,0.479159568,0.103983023,0.115977639,0.213935581,0.219204299,0.34701938,0.447286028,0.292286241,0.451909194,0.154374262,0.17543709,0.352028211,0.225330207,0.267128707,0.266183324,0.22357084,0.313516078
0.390,0.170208422,0.206381088,0.37008253,0.460359651,0.107334757,0.111480229,0.195974285,0.203518444,0.321851663,0.420128356,0.319432723,0.397265356,0.157044438,0.175446405,0.346101099,0.221568995,0.311866134,0.265111724,0.227530771,0.303039347
0.400,0.166519964,0.197246513,0.318176019,0.424583177,0.116523804,0.113853838,0.196164911,0.186594875,0.339889408,0.404191286,0.335083641,0.370826224,0.155984445,0.183228857,0.336258326,0.207931622,0.344979634,0.263498197,0.232657772,0.300581844
0.410,0.159748328,0.183238148,0.282671034,0.454512041,0.122719493,0.12462952,0.188072048,0.176926722,0.360302674,0.398481867,0.347699713,0.383887313,0.152062697,0.191097657,0.324954487,0.192215757,0.362296261,0.291539954,0.233056183,0.297151402
0.420,0.152237582,0.168405483,0.24983756,0.468893368,0.124007211,0.138707993,0.183229407,0.179179505,0.357619767,0.380857434,0.348345847,0.389438998,0.152229766,0.195487677,0.309706275,0.188181802,0.370204601,0.330726046,0.224811968,0.283590609
0.430,0.145182175,0.163493261,0.260839551,0.464495903,0.123291486,0.153414021,0.190369973,0.177333042,0.346673913,0.351674505,0.330403319,0.387478564,0.161874008,0.19144291,0.291547108,0.202734287,0.386471009,0.366424193,0.209161198,0.308492931
0.440,0.1407867,0.16919823,0.266821236,0.461797048,0.121922281,0.165946724,0.204509403,0.173872778,0.353824964,0.324005723,0.304679252,0.372341029,0.170152133,0.182199471,0.288126775,0.214496326,0.403541112,0.389063688,0.188119563,0.333312107
0.450,0.140131499,0.175278593,0.2693881,0.466393552,0.116579469,0.175284823,0.216181594,0.165953448,0.374466106,0.309003254,0.283265786,0.329728714,0.180524042,0.181240456,0.294639424,0.2167308,0.403337395,0.400381092,0.198313123,0.336766555
0.460,0.138863859,0.183387246,0.265991061,0.468653358,0.12091158,0.18162902,0.225566805,0.163786105,0.396064541,0.309806907,0.297457159,0.281623429,0.186065507,0.190017119,0.30261466,0.208737182,0.40739947,0.424766923,0.218935917,0.336942927
0.470,0.136754072,0.193851601,0.257071501,0.472414682,0.121435771,0.187082293,0.235885682,0.186329849,0.40721609,0.310124746,0.305419793,0.287668404,0.186168394,0.194748185,0.306056138,0.210362245,0.458053165,0.468711594,0.243455332,0.346865091
0.480,0.137504971,0.204781714,0.261791548,0.483073281,0.134936477,0.189865034,0.239850564,0.204050503,0.416406863,0.311726239,0.326876732,0.305438206,0.187507091,0.194345603,0.302335102,0.216955684,0.470265521,0.50391136,0.260960923,0.355686168
0.490,0.139188837,0.213153957,0.266098414,0.507823363,0.152257295,0.18676185,0.241547447,0.208781734,0.437128492,0.322060975,0.351344589,0.307312818,0.185550333,0.191783935,0.293410151,0.231912429,0.438026041,0.508714655,0.267573423,0.346837613
0.500,0.140329329,0.218379834,0.258741231,0.521064756,0.162743358,0.177417819,0.24033964,0.223759022,0.467732838,0.344240133,0.373357001,0.299900154,0.181172494,0.187757832,0.288573309,0.244876208,0.387376167,0.505466222,0.272652157,0.323956021
0.510,0.140829332,0.220445202,0.241770924,0.504877197,0.166076561,0.165242339,0.232457389,0.23485642,0.489843519,0.377160147,0.380871958,0.300479428,0.175582246,0.184370118,0.292698691,0.249274848,0.343077727,0.492321898,0.275384561,0.308315872
0.520,0.144693484,0.218463809,0.21748218,0.506633842,0.162053105,0.153555271,0.222285525,0.23162763,0.487395546,0.407997352,0.35750244,0.295249689,0.169222779,0.184675347,0.308931945,0.241255962,0.308217284,0.475751598,0.274418313,0.287926329
0.530,0.149579602,0.212072028,0.205277586,0.507702471,0.151449633,0.150450102,0.217644352,0.229916737,0.458778073,0.44582063,0.314870036,0.293970228,0.168067217,0.18499275,0.332398147,0.227441135,0.284764081,0.468579253,0.267216344,0.271671669
0.540,0.153080965,0.206619841,0.198228877,0.49243698,0.151447242,0.143892435,0.223728668,0.231977702,0.427262024,0.479355111,0.291931378,0.295576822,0.171369153,0.182704978,0.34871021,0.220164783,0.274362987,0.454616491,0.244311686,0.26499944
0.550,0.15635687,0.208864282,0.189283405,0.462306194,0.151523113,0.139305552,0.238585206,0.239999028,0.41562616,0.501545771,0.28723931,0.295876688,0.170852942,0.177961242,0.352160395,0.224995959,0.265197768,0.428373562,0.255958789,0.259576222
0.560,0.161147197,0.206226602,0.18186335,0.423171992,0.149043759,0.147369463,0.255499768,0.246965384,0.400555444,0.514008636,0.295220297,0.293960081,0.166006411,0.171486574,0.350810099,0.236502446,0.249229112,0.395948148,0.254386989,0.246086482
0.570,0.166642124,0.201635289,0.183875669,0.386568808,0.148499527,0.152119425,0.267109912,0.251328718,0.387651337,0.519026411,0.326642718,0.312722959,0.174817854,0.164408811,0.355077907,0.251687012,0.227968972,0.361171612,0.244332112,0.225306522
0.580,0.171787939,0.198611988,0.193303028,0.362463066,0.157531599,0.150435723,0.270211213,0.251665632,0.378334159,0.516101367,0.358886699,0.325954703,0.183229547,0.172064833,0.3642531,0.268224075,0.207256692,0.348107471,0.231931173,0.206624832
0.590,0.176174591,0.198964411,0.202376369,0.354782747,0.172497415,0.147746331,0.26476488,0.248509306,0.37110663,0.503173476,0.381048608,0.329837067,0.1903146,0.182347745,0.37203643,0.28003697,0.189687884,0.340671924,0.22228171,0.190122581
