Time(s),AL01-EQ2-psaNorthSouth(g),AL01-EQ2-psaEastWest(g),BL45-EQ8-psaNorthSouth(g),BL45-EQ8-psaEastWest(g),CI05-EQ15-psaNorthSouth(g),CI05-EQ15-psaEastWest(g),CJ03-EQ16-psaNorthSouth(g),CJ03-EQ16-psaEastWest(g),CJ04-EQ17-psaNorthSouth(g),CJ04-EQ17-psaEastWest(g),CO56-EQ19-psaNorthSouth(g),CO56-EQ19-psaEastWest(g),GA62-EQ29-psaNorthSouth(g),GA62-EQ29-psaEastWest(g),GC38-EQ30-psaNorthSouth(g),GC38-EQ30-psaEastWest(g),LI58-EQ37-psaNorthSouth(g),LI58-EQ37-psaEastWest(g),PE10-EQ47-psaNorthSouth(g),PE10-EQ47-psaEastWest(g),RM48-EQ49-psaNorthSouth(g),RM48-EQ49-psaEastWest(g),SP51-EQ51-psaNorthSouth(g),SP51-EQ51-psaEastWest(g),TL08-EQ53-psaNorthSouth(g),TL08-EQ53-psaEastWest(g),TL55-EQ54-psaNorthSouth(g),TL55-EQ54-psaEastWest(g),VG09-EQ58-psaNorthSouth(g),VG09-EQ58-psaEastWest(g)
0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.020,0.119873904,0.110782982,0.104507637,0.116793409,0.115871512,0.116792953,0.114356074,0.100158409,0.126835689,0.099133564,0.112280907,0.116680904,0.099755213,0.086245655,0.128785549,0.127063909,0.097863479,0.091729345,0.103573533,0.127508455,0.062150049,0.080545539,0.07933962,0.102504213,0.084710742,0.082965795,0.084263982,0.07064841,0.121755182,0.10401898
0.030,0.119961823,0.110995377,0.104415001,0.116854414,0.115666959,0.116953105,0.114499766,0.100347489,0.126980381,0.09904713,0.11202647,0.116450835,0.099977913,0.085923359,0.128740167,0.128008123,0.098037214,0.092329208,0.103398401,0.127549643,0.062752977,0.080614454,0.079089476,0.102675478,0.084693967,0.083192375,0.084409864,0.07067566,0.122423304,0.10417118
0.040,0.120808727,0.111324205,0.104609976,0.117435015,0.116254192,0.117924916,0.115173653,0.100523693,0.128113117,0.099963013,0.112710099,0.117874499,0.099876731,0.08670652,0.12920017,0.127628008,0.098142833,0.092841091,0.10400146,0.127675677,0.063162721,0.080638669,0.079248017,0.102809507,0.085935885,0.083026851,0.084375625,0.070656054,0.122075114,0.104296353
0.050,0.119516625,0.110581141,0.105338178,0.117833964,0.117167457,0.118727036,0.114671725,0.100577858,0.130364822,0.099444118,0.112919407,0.122293446,0.099116307,0.086293378,0.12914613,0.128858328,0.09894689,0.092504129,0.104488733,0.12861703,0.064498273,0.083299944,0.080516046,0.10343049,0.086136822,0.084757893,0.084511577,0.070517473,0.123066805,0.105359283
0.060,0.119795335,0.111784911,0.105275831,0.117700768,0.117562165,0.12056181,0.114860834,0.101100034,0.131260005,0.099892025,0.11136219,0.117021381,0.100504019,0.087409022,0.129360469,0.129320784,0.098771256,0.093955037,0.104916446,0.130226597,0.066488243,0.08854515,0.082582737,0.104232177,0.088164785,0.085401584,0.084487507,0.07081423,0.123390745,0.105973731
0.070,0.123402206,0.120363934,0.108695309,0.118754386,0.118960256,0.12165564,0.115628891,0.100786218,0.129646538,0.098906129,0.113172077,0.11804394,0.100092153,0.087391441,0.129706072,0.135086465,0.097744438,0.095771414,0.105808887,0.129970377,0.065533373,0.094982936,0.082070302,0.107173096,0.090046401,0.084841219,0.085124321,0.071026694,0.124223437,0.105593591
0.080,0.125711046,0.118744508,0.105433122,0.11766771,0.120648995,0.120286433,0.116152581,0.101363588,0.133794135,0.101880643,0.116270439,0.125206926,0.100053067,0.08744439,0.131825062,0.136365107,0.102828545,0.096341875,0.105219565,0.128423684,0.067414434,0.096928999,0.085628808,0.103999982,0.095638712,0.088295363,0.085681728,0.071378001,0.125247927,0.110269676
0.090,0.132576532,0.118014983,0.112459505,0.120837143,0.119571824,0.127274534,0.11466729,0.103187487,0.130211226,0.103283451,0.117744918,0.124298156,0.102838277,0.089620067,0.1342395,0.138247529,0.099539623,0.10285375,0.104550194,0.132115912,0.069604577,0.087829575,0.09919966,0.104756163,0.094623109,0.096034977,0.088563482,0.071804392,0.126993243,0.10861453
0.100,0.135097752,0.122704515,0.116207876,0.120117106,0.120187241,0.129152548,0.122102949,0.104129885,0.134744062,0.103137046,0.116971624,0.127520564,0.109004167,0.089597383,0.133388078,0.133053335,0.101097703,0.102966122,0.107818749,0.131945199,0.083035812,0.099136901,0.105680682,0.105800382,0.111350509,0.098713789,0.096446517,0.071945731,0.130333127,0.112206991
0.110,0.133122991,0.124453317,0.113780844,0.124007577,0.12824476,0.147405316,0.124397793,0.103359336,0.135857586,0.102399757,0.118802743,0.129805899,0.108889138,0.09633058,0.13578491,0.136156496,0.101498766,0.106308673,0.113897507,0.134323297,0.077469778,0.097658533,0.101869303,0.11029906,0.140053995,0.09874093,0.094793412,0.071597035,0.135391671,0.127101388
0.120,0.125237695,0.120637756,0.111231111,0.120268573,0.133830025,0.139852541,0.139304836,0.106683668,0.152427815,0.109745904,0.120520581,0.126336386,0.114727459,0.104992217,0.132976717,0.132586732,0.108939954,0.106349827,0.112672894,0.129620993,0.083136391,0.110064201,0.115221363,0.111536184,0.154884099,0.114512916,0.092580681,0.073670286,0.147997723,0.114998824
0.130,0.128933863,0.118747245,0.111004067,0.122747719,0.130925747,0.163072463,0.139335058,0.115256168,0.155771049,0.121542488,0.120018266,0.116950059,0.111690125,0.113008911,0.133942368,0.15052622,0.111218784,0.1107148,0.111657567,0.134869026,0.086871607,0.110490333,0.132129276,0.112940489,0.183666863,0.131026197,0.098914194,0.074419408,0.156474173,0.136134567
0.140,0.131602906,0.131861466,0.112718871,0.124936235,0.135330194,0.170817806,0.130493499,0.115423721,0.155938471,0.123488102,0.120807435,0.128746965,0.109325246,0.109488357,0.143708088,0.191795506,0.122026439,0.115078948,0.133265062,0.132811334,0.087206198,0.115487315,0.110401861,0.116340377,0.150865156,0.114646101,0.097272015,0.073806895,0.140767885,0.126961226
0.150,0.131624525,0.132428522,0.118655514,0.128901532,0.165322598,0.188989085,0.132678064,0.146526626,0.155608622,0.153140691,0.132885666,0.137499643,0.111951293,0.111586373,0.150637515,0.236663332,0.122850996,0.11917699,0.148544367,0.137710186,0.085149458,0.11413865,0.114374664,0.114638875,0.133491751,0.103080947,0.096874963,0.07360924,0.136289119,0.129805886
0.160,0.136943057,0.132271917,0.120168976,0.124283897,0.17699486,0.229452859,0.148778819,0.169536501,0.16299375,0.175534588,0.142937609,0.135363942,0.108009087,0.11216381,0.154528928,0.250250996,0.152142889,0.129790805,0.149639841,0.141538022,0.083214398,0.109106375,0.113555149,0.115063989,0.126135283,0.094521469,0.092089888,0.072227423,0.123662286,0.125998002
0.170,0.142580365,0.138377975,0.122113892,0.121772475,0.173314908,0.275985544,0.157193676,0.173413199,0.183331168,0.189511578,0.136809501,0.151248052,0.108298564,0.109544015,0.161942561,0.246647133,0.161178457,0.153228754,0.155553728,0.136034056,0.073902937,0.100236415,0.132676005,0.119952862,0.112220654,0.098690527,0.097158225,0.080173999,0.124663452,0.133749409
0.180,0.145727592,0.143659833,0.128114206,0.132044024,0.176686866,0.269763261,0.172608951,0.168648324,0.176305513,0.183129155,0.141765566,0.145815051,0.110574309,0.107824216,0.153040409,0.269449255,0.158545666,0.146959276,0.142380504,0.136285958,0.07350178,0.099225458,0.143549003,0.135658671,0.099031116,0.105229478,0.087691326,0.084226044,0.131041021,0.141657393
0.190,0.146749366,0.150241372,0.145843771,0.136315995,0.173301191,0.243113789,0.182059967,0.157308825,0.164380564,0.167138538,0.139062461,0.136830706,0.110754954,0.103485036,0.183621627,0.308264709,0.146268315,0.149722068,0.154786347,0.140898373,0.075742155,0.100761046,0.124973977,0.127657247,0.091643973,0.122486361,0.086509858,0.0880566,0.128883662,0.147045089
0.200,0.151984352,0.155415354,0.164094969,0.133929292,0.170594882,0.215773987,0.197435719,0.152539475,0.182129084,0.156782983,0.134379387,0.138969473,0.113123391,0.102866624,0.170513684,0.301479571,0.126878891,0.148531216,0.157809035,0.157501477,0.075232987,0.10013779,0.107886181,0.12265736,0.089080481,0.132989883,0.088702528,0.092334189,0.130482076,0.150285399
0.210,0.16198632,0.15645291,0.173965104,0.130830307,0.175320785,0.216168447,0.208886979,0.157538837,0.203612615,0.144010499,0.139268284,0.159172865,0.119802436,0.114355247,0.1601928,0.297927266,0.150247598,0.141155523,0.153070157,0.167331373,0.074545477,0.104447338,0.114143345,0.130273865,0.092105575,0.134218133,0.095963643,0.090225221,0.139135892,0.159513501
0.220,0.161514101,0.150434505,0.155789869,0.147143625,0.179150086,0.238459196,0.204523516,0.159938232,0.209389869,0.14540553,0.1671256,0.166054787,0.116206146,0.134981347,0.160008369,0.29107032,0.166518909,0.154530519,0.154485682,0.170621035,0.073764146,0.111635753,0.112908562,0.135891327,0.097163627,0.130582503,0.118406141,0.10088239,0.145073089,0.149928004
0.230,0.148500767,0.163329157,0.12326571,0.151470366,0.176172007,0.219214586,0.195042298,0.161703971,0.208758953,0.136216357,0.192302125,0.169227199,0.121639695,0.147337468,0.164526114,0.281191136,0.169236322,0.165562707,0.167977524,0.174086263,0.076182661,0.113918425,0.112649213,0.137520637,0.115400259,0.129873523,0.129252674,0.105795502,0.15414663,0.14406238
0.240,0.149741407,0.16845814,0.127118107,0.152475494,0.198275574,0.240243567,0.198169797,0.155530947,0.201487831,0.122835016,0.223608124,0.206819347,0.128213546,0.152322249,0.170577858,0.260543721,0.203234873,0.156387462,0.169847995,0.164963126,0.081237382,0.11977396,0.116611951,0.140484369,0.128729052,0.127276736,0.127274848,0.11419188,0.157213148,0.17469542
0.250,0.179596286,0.184036938,0.145406551,0.159320182,0.237947038,0.24931351,0.2169467,0.151027908,0.21984822,0.127131294,0.234867034,0.244336637,0.12990948,0.16395233,0.189318706,0.249380645,0.213317745,0.174650428,0.195404779,0.163148802,0.082558595,0.116004268,0.117506718,0.158617934,0.129665615,0.126241021,0.130955782,0.117200402,0.172315072,0.197590635
0.260,0.203271282,0.16723044,0.160636944,0.168210492,0.262120853,0.276184313,0.242730134,0.147488664,0.240410109,0.1355926,0.220745952,0.24796281,0.132395089,0.175687067,0.211262494,0.238969361,0.194593951,0.18934269,0.232640422,0.188942344,0.079543023,0.121019178,0.131690681,0.182298123,0.12842917,0.131609646,0.127665547,0.117511479,0.18803788,0.19957221
0.270,0.216741432,0.179473301,0.162171503,0.170003116,0.269532606,0.278445147,0.243663205,0.16514256,0.237212458,0.160365715,0.228203962,0.250649567,0.143111697,0.189870929,0.21163652,0.225918897,0.186558299,0.20096921,0.25969112,0.22752578,0.075981531,0.12393001,0.158905685,0.184847541,0.121928578,0.128911925,0.126239534,0.131942829,0.194697726,0.213787039
0.280,0.233933987,0.205342823,0.165502624,0.174667021,0.251423723,0.274564136,0.221990404,0.179999096,0.213671903,0.178531542,0.230268897,0.237868633,0.148667478,0.21481088,0.205533265,0.227200108,0.179811306,0.194035156,0.297271619,0.240838637,0.079467275,0.142412332,0.179745633,0.189081388,0.10924175,0.123480802,0.144284098,0.14460622,0.19459086,0.216987993
0.290,0.224216169,0.224559746,0.171815785,0.16776026,0.223631384,0.265691274,0.190630743,0.179811926,0.203696984,0.183545994,0.22793293,0.201953333,0.150569798,0.233166742,0.188113532,0.222353514,0.160962506,0.165653759,0.284201864,0.236416695,0.079438319,0.141410181,0.17746971,0.207731252,0.113477513,0.126254566,0.168013512,0.147783724,0.198978023,0.221753258
0.300,0.201992701,0.246248967,0.17861636,0.16835963,0.214403351,0.265716385,0.191792206,0.177213132,0.211142801,0.166010295,0.217160841,0.195093166,0.158657067,0.233821309,0.183059264,0.209411193,0.143598795,0.147366042,0.231391476,0.217810535,0.084608111,0.132713945,0.173721964,0.221196789,0.114620221,0.118916676,0.180277631,0.130417531,0.212387642,0.258473903
0.310,0.20401193,0.268378098,0.176984365,0.163529284,0.227846054,0.299585335,0.204687018,0.166598191,0.225724227,0.168562994,0.194617771,0.19704969,0.170834881,0.244161363,0.173646979,0.23105755,0.145311916,0.15023073,0.178925919,0.209237536,0.09077113,0.139500455,0.168884079,0.221015839,0.112320486,0.106113434,0.178952728,0.136260945,0.231626117,0.300963151
0.320,0.226692212,0.260560628,0.174249356,0.138529902,0.24701111,0.354382245,0.222220083,0.153986762,0.241515098,0.165477118,0.179601569,0.172006294,0.177073551,0.257755651,0.170738168,0.25175559,0.146015106,0.159405449,0.156692775,0.213743191,0.10158093,0.151520382,0.165041404,0.205924865,0.105909914,0.102439063,0.154918564,0.124279824,0.241960581,0.321980816
0.330,0.270492276,0.254547289,0.190467816,0.151158103,0.268810587,0.400954302,0.239533158,0.166500059,0.259868534,0.162980938,0.175867004,0.15015024,0.169269531,0.273125326,0.170641746,0.270589532,0.147592211,0.155219084,0.149328627,0.204056765,0.103661567,0.154787744,0.166890055,0.183970181,0.10983151,0.11035821,0.139155012,0.1108208,0.246161005,0.312701235
0.340,0.298952326,0.24739925,0.20871685,0.15959202,0.268014872,0.412130289,0.254553134,0.168595499,0.277184836,0.162332824,0.15861178,0.162929547,0.155027337,0.289898215,0.178354988,0.267309417,0.156110504,0.156342417,0.158551157,0.198995343,0.105986828,0.145364957,0.169118239,0.162122306,0.124134453,0.1208945,0.1357089,0.104508331,0.233591155,0.27282346
0.350,0.296232309,0.295258269,0.212706461,0.165423254,0.256795208,0.363701906,0.262099774,0.166892721,0.286628122,0.160066813,0.158967957,0.169731873,0.147232323,0.298577934,0.180642679,0.239859194,0.161790561,0.169693286,0.167022559,0.20139832,0.119997147,0.127524959,0.177840296,0.163737589,0.132909599,0.124099441,0.133969996,0.100972958,0.223860034,0.219159066
0.360,0.295258251,0.333701941,0.215844361,0.182977792,0.237727321,0.300511806,0.264475073,0.173225071,0.290349049,0.16743296,0.16891807,0.181203073,0.137798714,0.301878813,0.176049541,0.248713908,0.166233082,0.185139291,0.170882555,0.203282576,0.122578243,0.111856331,0.188385565,0.166165523,0.133244052,0.120535312,0.141499033,0.099905114,0.216823136,0.181757573
0.370,0.272384575,0.352001239,0.234960855,0.217235222,0.210083401,0.292384617,0.258789733,0.171993574,0.283477552,0.174401747,0.173774464,0.2035609,0.128076638,0.291512015,0.179706172,0.253397061,0.161230329,0.200233555,0.166157622,0.205133556,0.113675309,0.102058893,0.204680273,0.168127767,0.131900946,0.112149515,0.143746052,0.107759142,0.219214347,0.155911203
0.380,0.269159647,0.374365502,0.248082084,0.247566302,0.197125262,0.279295261,0.233908911,0.190347386,0.259321541,0.190846209,0.16991146,0.225184291,0.131139898,0.268765883,0.183648269,0.243997585,0.178330316,0.211796203,0.161265973,0.206936619,0.10594353,0.104660187,0.210241361,0.182085582,0.133256519,0.105809301,0.137587886,0.110001739,0.216322155,0.140544355
0.390,0.245998798,0.358546466,0.264675535,0.264848392,0.19912658,0.264237831,0.196419231,0.196831741,0.220853435,0.195574636,0.172409855,0.234401994,0.134468786,0.246263742,0.169634612,0.240465629,0.190133035,0.217764548,0.160013755,0.211720842,0.105105741,0.109792177,0.193813231,0.191152846,0.136852322,0.106692371,0.133165502,0.111671159,0.227855483,0.154406086
