T(s),SCT-EastWest,SCT-NorthSouth,CU-EastWest,CU-NorthSouth
0,0.10501368,0.097635872,0.060771009,0.059844016
0.02,0.105038135,0.097715199,0.061118236,0.059871916
0.04,0.108318175,0.10282002,0.062546799,0.061040234
0.06,0.109969144,0.103752844,0.063425352,0.0644663
0.08,0.109373629,0.111947819,0.074290082,0.063644822
0.1,0.124955515,0.114686014,0.075402457,0.102779225
0.12,0.146115301,0.142241162,0.129364862,0.16469998
0.14,0.146255617,0.168610398,0.168691896,0.140094006
0.16,0.170220571,0.193593231,0.169398451,0.125607115
0.18,0.164010917,0.190487696,0.21322682,0.167499674
0.2,0.136215107,0.164180571,0.229003435,0.221226024
0.22,0.155234302,0.175839154,0.243571886,0.181257074
0.24,0.167857452,0.169656738,0.216107217,0.20547001
0.26,0.151098848,0.188680296,0.26174053,0.206696707
0.28,0.156036524,0.194380703,0.177885076,0.183592487
0.3,0.153385097,0.205591121,0.132252783,0.194563609
0.32,0.157610724,0.186480347,0.118775698,0.157772426
0.34,0.168215056,0.166360479,0.120056177,0.133048991
0.36,0.175362497,0.143945168,0.123430734,0.13163739
0.38,0.197144455,0.13498052,0.12546633,0.106097319
0.4,0.209012885,0.147303609,0.113945148,0.086204995
0.42,0.18668945,0.157511019,0.129283364,0.08456633
0.44,0.184929715,0.157040438,0.158606718,0.100663252
0.46,0.191961804,0.153637737,0.166438909,0.096909409
0.48,0.206786463,0.144721702,0.15496054,0.105656014
0.5,0.225926116,0.144382497,0.14990999,0.102086595
0.52,0.25530739,0.1581021,0.135974312,0.089299032
0.54,0.269783527,0.151442243,0.112370265,0.089571631
0.56,0.265053323,0.151211743,0.106987248,0.106438981
0.58,0.254594801,0.156777411,0.106010866,0.106834027
0.6,0.233309286,0.156319602,0.103545494,0.097472314
0.62,0.211042029,0.152242977,0.095250438,0.10086633
0.64,0.194645596,0.14072212,0.08912893,0.10487159
0.66,0.179990092,0.138397982,0.092315566,0.109281366
0.68,0.16792366,0.131771009,0.102073221,0.110443639
0.7,0.1597716,0.128776524,0.110015902,0.116159633
0.72,0.15893789,0.129702987,0.112068614,0.128237064
0.74,0.161191621,0.135183517,0.107220703,0.148070418
0.76,0.163855341,0.147454944,0.101258267,0.156670133
0.78,0.177133496,0.165779745,0.099409551,0.152527961
0.8,0.190739327,0.175420561,0.097373833,0.146953996
0.82,0.193348196,0.176060499,0.098425494,0.144644781
0.84,0.178151407,0.169708247,0.094949021,0.144463578
0.86,0.178361417,0.161745066,0.092859123,0.14267894
0.88,0.171417492,0.158926606,0.096946045,0.138960479
0.9,0.175994893,0.163043282,0.103764516,0.135258644
0.92,0.177829551,0.171060489,0.118142926,0.128212171
0.94,0.173001274,0.178455056,0.124463028,0.121305443
0.96,0.16299317,0.181894903,0.122531468,0.1347063
0.98,0.164448675,0.180854638,0.117737727,0.141143364
1,0.168943486,0.177073374,0.113140234,0.141468858
1.02,0.184139154,0.182328767,0.108049613,0.135428277
1.04,0.188636279,0.18870107,0.100350377,0.124791142
1.06,0.19725577,0.19276999,0.089983517,0.113358675
1.08,0.203205209,0.195438838,0.088202151,0.104201998
1.1,0.209291182,0.197197788,0.085612895,0.110007227
1.12,0.224356106,0.197388695,0.08676896,0.112061988
1.14,0.234190499,0.197554883,0.093285902,0.112332008
1.16,0.235708512,0.204287319,0.097964536,0.115083619
1.18,0.232451835,0.205660561,0.10210788,0.120416402
1.2,0.235426809,0.201708094,0.106278145,0.124765953
1.22,0.238508552,0.192171876,0.110169429,0.12530631
1.24,0.244506351,0.179603925,0.11292001,0.122141764
1.26,0.248623517,0.169697258,0.114798705,0.120530856
1.28,0.247812773,0.167994455,0.116726014,0.11552791
1.3,0.246581274,0.170460367,0.115811611,0.108643853
1.32,0.253378552,0.176032263,0.11264261,0.103446218
1.34,0.270543078,0.187935749,0.113249735,0.101882487
1.36,0.291325627,0.204883996,0.116211376,0.099733802
1.38,0.306600336,0.224092039,0.120376004,0.097212375
1.4,0.311622997,0.244603965,0.125485005,0.094613099
1.42,0.30841524,0.263668695,0.130339409,0.092275076
1.44,0.305789623,0.279861346,0.133887554,0.090473578
1.46,0.306577554,0.294017278,0.135119551,0.089204292
1.48,0.329693333,0.304845535,0.133097207,0.088065005
1.5,0.366586422,0.30890366,0.127221397,0.087167115
1.52,0.413260398,0.302828695,0.118358675,0.088169918
1.54,0.452790897,0.286369399,0.108831325,0.087770724
1.56,0.490926055,0.287395841,0.107229898,0.086070897
1.58,0.520962905,0.305049032,0.105380469,0.083603028
1.6,0.542252202,0.320339327,0.104593374,0.081143568
1.62,0.56590209,0.333369735,0.106261427,0.079255291
1.64,0.575840561,0.344507146,0.111866493,0.078214975
1.66,0.577061835,0.353939929,0.118149796,0.07783264
1.68,0.57349894,0.361901988,0.123171274,0.077596555
1.7,0.568051702,0.368190795,0.125622304,0.076790326
1.72,0.575978777,0.372562222,0.124894659,0.074880449
1.74,0.583300183,0.374736035,0.120889276,0.072474995
1.76,0.587585647,0.374327859,0.116618328,0.071783425
1.78,0.594198165,0.370977166,0.111031121,0.06980474
1.8,0.594191549,0.364523374,0.103999378,0.066672039
1.82,0.58570526,0.355590071,0.097568328,0.062571019
1.84,0.568692222,0.344867288,0.091220632,0.057694873
1.86,0.549186279,0.333286514,0.084395392,0.055315382
1.88,0.527858705,0.321627635,0.07734789,0.052597146
1.9,0.502093496,0.314091539,0.070417961,0.049165749
1.92,0.473109745,0.305851774,0.065375515,0.045156106
1.94,0.441955494,0.29716895,0.060332946,0.040764261
1.96,0.415313914,0.288318675,0.057504414,0.036255973
1.98,0.389481682,0.279396871,0.055779052,0.037099103
2,0.362745199,0.271881488,0.054347635,0.038961641
2.02,0.344067044,0.264285413,0.053178542,0.040637288
2.04,0.331010061,0.256037615,0.052278104,0.042104322
2.06,0.316777329,0.247039582,0.051641468,0.043260632
2.08,0.300994302,0.237360612,0.051255474,0.043768705
2.1,0.283953914,0.227151651,0.051110438,0.043556534
2.12,0.266326391,0.216453262,0.051196137,0.042687278
2.14,0.25215158,0.20530212,0.051443996,0.041317288
2.16,0.243819072,0.193873394,0.051814424,0.039587258
2.18,0.234749664,0.182361825,0.052213925,0.037607513
2.2,0.22725264,0.171038165,0.052588756,0.035504557
2.22,0.221714546,0.159988685,0.052856014,0.033385372
2.24,0.215924781,0.149350408,0.052956646,0.031357441
2.26,0.216752426,0.139229653,0.052865759,0.02951682
2.28,0.214872059,0.12969053,0.052559878,0.027965923
2.3,0.209689429,0.120839664,0.052090428,0.026768746
2.32,0.203469715,0.112884067,0.051539847,0.025918654
2.34,0.201965912,0.1110463,0.050812915,0.025318206
2.36,0.197507054,0.108921131,0.04984473,0.02481315
2.38,0.190490877,0.10645894,0.04864577,0.024240581
2.4,0.182746575,0.103631886,0.047221702,0.023496993
2.42,0.177650234,0.10043947,0.045694108,0.022556351
2.44,0.170452008,0.096910143,0.045446687,0.022606891
2.46,0.161337604,0.093125076,0.045469042,0.02293787
2.48,0.154779551,0.089136911,0.045767146,0.0229284
2.5,0.148888593,0.088785933,0.045584852,0.022624924
2.52,0.1427637,0.089498522,0.044927655,0.022068624
2.54,0.136469419,0.09013897,0.043832243,0.021546544
2.56,0.130097686,0.09054999,0.042360877,0.021230815
2.58,0.125266096,0.090659704,0.040589847,0.020702253
2.6,0.121738644,0.090435117,0.038607829,0.020007411
2.62,0.118052263,0.089864709,0.036478563,0.019422192
2.64,0.114234883,0.088963303,0.034693517,0.018745841
2.66,0.111182528,0.087763384,0.032947472,0.018052783
2.68,0.10896158,0.086298471,0.031181437,0.018161274
2.7,0.106078053,0.084602273,0.029420683,0.018447717
2.72,0.1026421,0.082707136,0.029274526,0.018666371
2.74,0.09876474,0.080642253,0.029239837,0.01882367
2.76,0.094540357,0.078433394,0.029155902,0.018924934
2.78,0.090073344,0.076101947,0.029026636,0.018979562
2.8,0.085562487,0.073669918,0.02885317,0.018995168
2.82,0.083799582,0.071156065,0.028638716,0.018964434
2.84,0.081701305,0.068630408,0.028392793,0.018881906
2.86,0.079323486,0.067397686,0.028107268,0.01875367
2.88,0.076730071,0.066055963,0.027799032,0.018576779
2.9,0.073972426,0.064616871,0.027457849,0.01835998
2.92,0.071091376,0.063093374,0.027099144,0.018101825
2.94,0.06835946,0.061924037,0.026712803,0.017818471
2.96,0.06715525,0.061262049,0.026316595,0.017505046
2.98,0.066031794,0.060522029,0.025898369,0.017167737
3,0.064979113,0.059691213,0.02547316,0.016820041
3.02,0.063955076,0.058783935,0.025036646,0.016459093
3.04,0.06289893,0.057828787,0.024589837,0.016088858
3.06,0.06173475,0.056832783,0.024146473,0.015713384
3.08,0.0604179,0.055802854,0.02369735,0.015365994
3.1,0.059378502,0.054752212,0.02324631,0.015108512
3.12,0.058534353,0.053698726,0.022804373,0.014844373
3.14,0.058219511,0.05265265,0.022362987,0.014571814
3.16,0.057902385,0.051613996,0.021923629,0.014298593
3.18,0.057594139,0.050589337,0.021495341,0.014021825
3.2,0.057284913,0.049583772,0.021071397,0.0137437
3.22,0.056969847,0.048601121,0.020650754,0.013469032
3.24,0.056647808,0.047647339,0.020320133,0.013198328
3.26,0.056327074,0.046724353,0.020344964,0.012932762
3.28,0.056002936,0.045830031,0.020321162,0.012674638
3.3,0.055667737,0.044965841,0.020245341,0.012426228
3.32,0.055320102,0.04413314,0.020120031,0.012189674
3.34,0.054970469,0.04333317,0.019940724,0.011966983
3.36,0.054609368,0.042567197,0.019704852,0.011759939
3.38,0.054231549,0.041836402,0.019420316,0.011570122
3.4,0.053841111,0.041141896,0.01907946,0.011398767
3.42,0.053441947,0.040484608,0.01868788,0.011246799
3.44,0.05302263,0.03986525,0.018246453,0.011114791
3.46,0.052589327,0.0392842,0.017755464,0.011002936
3.48,0.052143201,0.038741427,0.017316504,0.01091106
3.5,0.051675189,0.038236463,0.017317329,0.010838624
3.52,0.051199755,0.037768308,0.01731998,0.01078475
3.54,0.05070314,0.037335474,0.017320622,0.010748277
3.56,0.050192661,0.036935943,0.017319144,0.010727768
3.58,0.050438695,0.036567238,0.017315474,0.0107216
3.6,0.050992905,0.036226473,0.017311631,0.010727992
3.62,0.051435025,0.035910438,0.017307227,0.010745076
3.64,0.051761978,0.035615647,0.017300275,0.010770958
3.66,0.05196,0.035338481,0.017290612,0.010803751
3.68,0.052042477,0.03507524,0.017278063,0.010841631
3.7,0.051994546,0.034822742,0.01726371,0.010882915
3.72,0.051818338,0.03457895,0.017248644,0.010926024
3.74,0.051526677,0.034338899,0.017229867,0.010969562
3.76,0.051114526,0.034099511,0.017207054,0.011012355
3.78,0.050587115,0.033858084,0.017179847,0.011053374
3.8,0.049949806,0.033612273,0.017147849,0.011091855
3.82,0.049207829,0.033360102,0.017112446,0.011127207
3.84,0.048366983,0.033100031,0.017073772,0.011159042
3.86,0.047434353,0.032834557,0.017029134,0.011187176
3.88,0.046418491,0.032559817,0.016978135,0.01121158
3.9,0.045327023,0.032274883,0.016920459,0.011232365
3.92,0.044165331,0.031980795,0.01685578,0.011251009
3.94,0.044059664,0.031679898,0.016784179,0.011266687
3.96,0.0439737,0.031369256,0.016708838,0.011279735
3.98,0.043749164,0.031050948,0.01662581,0.011405525
4,0.043390836,0.030727299,0.016534995,0.011562436
4.02,0.042910438,0.030396045,0.016436351,0.011714944
4.04,0.042306809,0.03005947,0.016329888,0.011864699
4.06,0.041587686,0.029720234,0.016282436,0.012010234
4.08,0.041160214,0.029376167,0.016241662,0.012151774
4.1,0.041143425,0.029029083,0.016191814,0.012289847
4.12,0.041054363,0.028682243,0.016137095,0.01242629
4.14,0.040890561,0.028333099,0.01632685,0.012559643
4.16,0.040652202,0.027982396,0.016558797,0.012690204
4.18,0.040343802,0.02763211,0.016778379,0.012819062
4.2,0.039974057,0.027283823,0.017004536,0.012946891
4.22,0.03954211,0.026935454,0.017217604,0.013072538
4.24,0.039047156,0.026587309,0.017415341,0.013196055
4.26,0.038498002,0.026239633,0.017596198,0.013319501
4.28,0.037895851,0.025892538,0.017763374,0.01344105
4.3,0.037242385,0.025548889,0.017913017,0.013574903
4.32,0.036548675,0.025206198,0.018045474,0.013744373
4.34,0.035809123,0.024863904,0.018165545,0.013912559
4.36,0.035039399,0.024521886,0.018268818,0.014079154
4.38,0.034232783,0.02417998,0.018355657,0.014244516
