T(s),CU 19 Sep 1985 5% Sa(g),T(s),CU 19 Sep 2017 5% Sa(g)
0,0.033910234,0,0.060199939
0.02,0.033988094,0.02,0.060340958
0.04,0.034799368,0.04,0.061684567
0.06,0.034546493,0.06,0.064661376
0.08,0.034445219,0.08,0.063727288
0.1,0.035350479,0.1,0.103823405
0.12,0.033754985,0.12,0.164790449
0.14,0.036425423,0.14,0.139786157
0.16,0.034793221,0.16,0.12482419
0.18,0.036983476,0.18,0.16834054
0.2,0.034847054,0.2,0.221229174
0.22,0.040738746,0.22,0.180896279
0.24,0.047872508,0.24,0.203914495
0.26,0.050154557,0.26,0.205461121
0.28,0.051441478,0.28,0.182432915
0.3,0.052894822,0.3,0.193648685
0.32,0.055051764,0.32,0.156623721
0.34,0.06426054,0.34,0.13191157
0.36,0.062662793,0.36,0.130535474
0.38,0.056686687,0.38,0.105127492
0.4,0.048551937,0.4,0.085193904
0.42,0.045432263,0.42,0.083500112
0.44,0.042755229,0.44,0.099754618
0.46,0.050108756,0.46,0.097293201
0.48,0.052127003,0.48,0.105870815
0.5,0.04925421,0.5,0.102123894
0.52,0.056372875,0.52,0.089271376
0.54,0.057930163,0.54,0.089605657
0.56,0.061225178,0.56,0.106493191
0.58,0.062005566,0.58,0.106763588
0.6,0.065076575,0.6,0.096908186
0.62,0.077442732,0.62,0.101166157
0.64,0.087649898,0.64,0.105152926
0.66,0.095996555,0.66,0.10922842
0.68,0.107593639,0.68,0.110220265
0.7,0.117796901,0.7,0.115825851
0.72,0.121292396,0.72,0.128656106
0.74,0.117250948,0.74,0.148266616
0.76,0.11409054,0.76,0.156827798
0.78,0.110587686,0.78,0.152581468
0.8,0.107633996,0.8,0.14699105
0.82,0.105221916,0.82,0.144619806
0.84,0.103098665,0.84,0.144438716
0.86,0.104210683,0.86,0.14251682
0.88,0.108113874,0.88,0.139099664
0.9,0.123826962,0.9,0.135148818
0.92,0.133781193,0.92,0.127868502
0.94,0.132728858,0.94,0.120763925
0.96,0.124165759,0.96,0.135533833
0.98,0.112565576,0.98,0.140242813
1,0.097659093,1,0.140140194
1.02,0.091894393,1.02,0.13424948
1.04,0.09144209,1.04,0.123894628
1.06,0.090735719,1.06,0.112524628
1.08,0.090403048,1.08,0.103263609
1.1,0.089471182,1.1,0.110062548
1.12,0.089624414,1.12,0.112094862
1.14,0.091283323,1.14,0.112424689
1.16,0.092618359,1.16,0.115200163
1.18,0.097859592,1.18,0.120562854
1.2,0.102506575,1.2,0.124982029
1.22,0.103178073,1.22,0.125610347
1.24,0.101490826,1.24,0.122219674
1.26,0.099391346,1.26,0.120723405
1.28,0.096378603,1.28,0.115710173
1.3,0.096254098,1.3,0.108853354
1.32,0.092783955,1.32,0.1031337
1.34,0.085336942,1.34,0.101604047
1.36,0.083267085,1.36,0.099567503
1.38,0.079295474,1.38,0.097161804
1.4,0.07382371,1.4,0.094665025
1.42,0.068962915,1.42,0.092441356
1.44,0.066511152,1.44,0.090748196
1.46,0.066886871,1.46,0.089630826
1.48,0.068908063,1.48,0.088671121
1.5,0.071909256,1.5,0.087011203
1.52,0.07512421,1.52,0.087713344
1.54,0.077065321,1.54,0.087443231
1.56,0.077859042,1.56,0.085883374
1.58,0.078233741,1.58,0.083581967
1.6,0.078902212,1.6,0.08121578
1.62,0.080062722,1.62,0.079447156
1.64,0.081218767,1.64,0.078532283
1.66,0.081557166,1.66,0.078303721
1.68,0.080392885,1.68,0.078208767
1.7,0.077363344,1.7,0.077579185
1.72,0.072545586,1.72,0.075880938
1.74,0.067863863,1.74,0.072823476
1.76,0.07105948,1.76,0.071646667
1.78,0.073502151,1.78,0.069927085
1.8,0.075272589,1.8,0.067057778
1.82,0.076408287,1.82,0.063191702
1.84,0.077056758,1.84,0.058479378
1.86,0.077271753,1.86,0.055354077
1.88,0.077157564,1.88,0.052753364
1.9,0.076699032,1.9,0.049456667
1.92,0.075966972,1.92,0.045548369
1.94,0.074968644,1.94,0.041230887
1.96,0.073777788,1.96,0.036773955
1.98,0.072498491,1.98,0.037224261
2,0.076138053,2,0.039095097
2.02,0.081394088,2.02,0.040790173
2.04,0.086015107,2.04,0.04218841
2.06,0.089888165,2.06,0.043118787
2.08,0.0929021,2.08,0.043655433
2.1,0.09501788,2.1,0.043483578
2.12,0.096246922,2.12,0.0426042
2.14,0.096671233,2.14,0.041176065
2.16,0.096397961,2.16,0.039400347
2.18,0.095528471,2.18,0.037425749
2.2,0.094143038,2.2,0.035356147
2.22,0.092284118,2.22,0.033272997
2.24,0.090016932,2.24,0.031271305
2.26,0.087344924,2.26,0.029446881
2.28,0.08433367,2.28,0.027905301
2.3,0.081026555,2.3,0.026714638
2.32,0.077481335,2.32,0.025871213
2.34,0.073762671,2.34,0.025282915
2.36,0.069945117,2.36,0.024790795
2.38,0.066107645,2.38,0.024225647
2.4,0.06233579,2.4,0.023487299
2.42,0.059529694,2.42,0.022712844
