T(s),SCT-NorthSouth-19Sep1985-Damping5percent-Sa(g),SCT-EastWest-19Sep1985-Damping5percent-Sa(g),SCT-EastWest-19Sep2017-Damping5percent-Sa(g)
0,0.109669195,0.168501702,0.105962926
0.02,0.11003844,0.168704322,0.105987085
0.04,0.10968209,0.17114949,0.109227757
0.06,0.109748165,0.174047941,0.107791845
0.08,0.111531172,0.169996901,0.107193323
0.1,0.112780082,0.181300377,0.128308512
0.12,0.112204047,0.178103252,0.14853528
0.14,0.113558298,0.175695331,0.148419939
0.16,0.112511713,0.189734516,0.172409103
0.18,0.124873017,0.206400214,0.165278043
0.2,0.128181121,0.202905168,0.137117839
0.22,0.120430133,0.19480263,0.153752977
0.24,0.127281865,0.202614873,0.165239011
0.26,0.122117187,0.222002273,0.14788682
0.28,0.120376096,0.230808451,0.152617034
0.3,0.135423099,0.237811386,0.151592579
0.32,0.143428675,0.232641121,0.161001631
0.34,0.153935178,0.218664536,0.172920591
0.36,0.14153843,0.214300499,0.179381203
0.38,0.130049358,0.209513925,0.193964709
0.4,0.13592475,0.199949042,0.210600928
0.42,0.140403282,0.189973129,0.18992157
0.44,0.144756972,0.214774893,0.186858053
0.46,0.142625515,0.22566686,0.193635362
0.48,0.135027931,0.229977717,0.20827474
0.5,0.139033853,0.267090285,0.227191825
0.52,0.144827421,0.276847095,0.256257655
0.54,0.158289847,0.242591662,0.27026947
0.56,0.167176595,0.236613945,0.2652537
0.58,0.165042457,0.228422508,0.254602192
0.6,0.161000122,0.223762824,0.233101662
0.62,0.161137146,0.235118002,0.210532345
0.64,0.172814964,0.247979205,0.19381261
0.66,0.180677401,0.297787839,0.178313089
0.68,0.172896769,0.34303159,0.165934679
0.7,0.15920472,0.367003476,0.159008491
0.72,0.147054037,0.370229052,0.157747543
0.74,0.13269632,0.354768267,0.16244317
0.76,0.134822701,0.33008209,0.163963741
0.78,0.141777319,0.310207105,0.176882416
0.8,0.149269164,0.291200194,0.189739276
0.82,0.160479266,0.27181999,0.191450183
0.84,0.168208267,0.255883078,0.177631254
0.86,0.174269307,0.238026789,0.177202069
0.88,0.178545627,0.230900398,0.169605698
0.9,0.180964873,0.229023374,0.178015056
0.92,0.179254393,0.219693782,0.179043558
0.94,0.171373028,0.220640285,0.173531539
0.96,0.16612474,0.233636239,0.164756228
0.98,0.17157419,0.240721713,0.162551244
1,0.173320724,0.243575698,0.171610387
1.02,0.169079643,0.241747941,0.186372467
1.04,0.163723496,0.249385087,0.189894027
1.06,0.163130846,0.259739154,0.196617666
1.08,0.162164332,0.259876595,0.20195
1.1,0.169365861,0.254233609,0.211356239
1.12,0.177356442,0.248972181,0.225729766
1.14,0.182739093,0.258862171,0.234938644
1.16,0.192114883,0.265598502,0.235761142
1.18,0.197846228,0.270714506,0.232290173
1.2,0.200033833,0.271824444,0.234914475
1.22,0.200295056,0.269172915,0.237825505
1.24,0.198634648,0.267622966,0.243621376
1.26,0.193740224,0.27159105,0.247583476
1.28,0.185389541,0.280828807,0.24667103
1.3,0.179465607,0.290543761,0.245466656
1.32,0.177905953,0.294774852,0.252330683
1.34,0.182003262,0.298869684,0.269664118
1.36,0.191497207,0.30090107,0.290523833
1.38,0.197444832,0.297936748,0.30579318
1.4,0.198958359,0.299754057,0.3108437
1.42,0.199125107,0.320041111,0.308607696
1.44,0.210579276,0.345662875,0.307179235
1.46,0.220060897,0.370636595,0.307891223
1.48,0.226039429,0.392706188,0.330909898
1.5,0.243144312,0.408510938,0.365877513
1.52,0.256733751,0.415985851,0.412514465
1.54,0.264741101,0.436072059,0.452157788
1.56,0.267335515,0.445641244,0.490071305
1.58,0.266241886,0.44770473,0.522021998
1.6,0.269803527,0.447579388,0.542631468
1.62,0.276792426,0.450469888,0.565458777
1.64,0.285607095,0.460038165,0.574728298
1.66,0.297529307,0.477120765,0.577938909
1.68,0.311876667,0.500256687,0.573614913
1.7,0.326456646,0.52716843,0.567639643
1.72,0.339586565,0.556357645,0.57570686
1.74,0.353250245,0.587096891,0.583289959
1.76,0.361827492,0.61793421,0.587858797
1.78,0.365594159,0.646728481,0.593841845
1.8,0.366432029,0.671906901,0.594362049
1.82,0.366879011,0.698992436,0.586678389
1.84,0.369751641,0.727864944,0.570428063
1.86,0.378296422,0.755224434,0.548403445
1.88,0.394679144,0.782294077,0.527602294
1.9,0.419458695,0.8102563,0.502318991
1.92,0.45128051,0.838960183,0.473782834
1.94,0.486374393,0.87262682,0.442992834
1.96,0.524042956,0.908645494,0.414463914
1.98,0.566045739,0.93759683,0.389279888
2,0.603592813,0.954958695,0.363086718
2.02,0.635251407,0.966015698,0.343927146
2.04,0.653820173,0.967726249,0.331144811
2.06,0.655888389,0.95163843,0.317225984
2.08,0.642793843,0.921673466,0.301679246
2.1,0.616438084,0.883737492,0.284848695
2.12,0.581359878,0.84452633,0.267334862
2.14,0.542020061,0.809429266,0.252723017
2.16,0.514785464,0.78132366,0.244808186
2.18,0.496025719,0.760923863,0.236151641
2.2,0.481160469,0.747187411,0.22708788
2.22,0.469684873,0.738408175,0.221702059
2.24,0.46024472,0.732716891,0.216037339
2.26,0.45131367,0.728192864,0.216213089
2.28,0.44170579,0.725208593,0.214934485
2.3,0.430797686,0.725254709,0.210303201
2.32,0.418505352,0.722672487,0.203055933
2.34,0.405220214,0.717034852,0.201667217
2.36,0.391372406,0.708798818,0.197532569
2.38,0.37761105,0.699137227,0.190824516
2.4,0.364812141,0.689569348,0.182071203
