Time (s),CO56-NS,CO56-EW
0.000,,
0.010,,
0.020,0.112280907,0.116680904
0.030,0.11202647,0.116450835
0.040,0.112710099,0.117874499
0.050,0.112919407,0.122293446
0.060,0.11136219,0.117021381
0.070,0.113172077,0.11804394
0.080,0.116270439,0.125206926
0.090,0.117744918,0.124298156
0.100,0.116971624,0.127520564
0.110,0.118802743,0.129805899
0.120,0.120520581,0.126336386
0.130,0.120018266,0.116950059
0.140,0.120807435,0.128746965
0.150,0.132885666,0.137499643
0.160,0.142937609,0.135363942
0.170,0.136809501,0.151248052
0.180,0.141765566,0.145815051
0.190,0.139062461,0.136830706
0.200,0.134379387,0.138969473
0.210,0.139268284,0.159172865
0.220,0.1671256,0.166054787
0.230,0.192302125,0.169227199
0.240,0.223608124,0.206819347
0.250,0.234867034,0.244336637
0.260,0.220745952,0.24796281
0.270,0.228203962,0.250649567
0.280,0.230268897,0.237868633
0.290,0.22793293,0.201953333
0.300,0.217160841,0.195093166
0.310,0.194617771,0.19704969
0.320,0.179601569,0.172006294
0.330,0.175867004,0.15015024
0.340,0.15861178,0.162929547
0.350,0.158967957,0.169731873
0.360,0.16891807,0.181203073
0.370,0.173774464,0.2035609
0.380,0.16991146,0.225184291
0.390,0.172409855,0.234401994
0.400,0.178722295,0.234204188
0.410,0.182736509,0.216076883
0.420,0.179779851,0.186997509
0.430,0.167904408,0.175710505
0.440,0.15330152,0.174995168
0.450,0.165667915,0.167117747
0.460,0.174949306,0.157500154
0.470,0.178624281,0.157550659
0.480,0.178580362,0.159696556
0.490,0.178652103,0.161034603
0.500,0.18103676,0.153690098
0.510,0.184990751,0.153719647
0.520,0.197226034,0.162350877
0.530,0.202226172,0.168264906
0.540,0.19941204,0.169616667
0.550,0.189953478,0.169264931
0.560,0.187256654,0.168100104
0.570,0.190567074,0.162777085
0.580,0.19684943,0.164304537
0.590,0.203996474,0.184343376
0.600,0.212243805,0.204126594
0.610,0.220567094,0.217720784
0.620,0.226887586,0.221946787
0.630,0.229499017,0.216290262
0.640,0.245649611,0.212723064
0.650,0.262924813,0.211021625
0.660,0.276459196,0.204588223
0.670,0.286599572,0.197255676
0.680,0.293851406,0.191469859
0.690,0.300333478,0.18852061
0.700,0.313599966,0.188118333
0.710,0.343420551,0.18874467
0.720,0.374891224,0.188907792
0.730,0.404671175,0.187829059
0.740,0.42933726,0.192133185
0.750,0.445363467,0.208584172
0.760,0.45330003,0.225708896
0.770,0.445571968,0.251194194
0.780,0.434092736,0.278955382
0.790,0.434874497,0.299308136
0.800,0.429548139,0.308934373
0.810,0.418643337,0.308545147
0.820,0.403309766,0.307173397
0.830,0.385215224,0.304897136
0.840,0.365586001,0.304707989
0.850,0.346877118,0.300868965
0.860,0.329062893,0.295133735
0.870,0.312996047,0.288477521
0.880,0.310162425,0.280449992
0.890,0.309016983,0.27035325
0.900,0.308611626,0.257970142
0.910,0.308136967,0.24525517
0.920,0.306754884,0.232766176
0.930,0.303726069,0.218701116
0.940,0.29853924,0.204423148
0.950,0.291249596,0.191436495
0.960,0.281802415,0.181240308
0.970,0.270493686,0.174605736
0.980,0.264606459,0.171844913
0.990,0.276026167,0.172204275
1.000,0.286629698,0.174375265
1.010,0.294064477,0.176979498
1.020,0.297099796,0.179339389
1.030,0.295801963,0.181672753
1.040,0.290648456,0.184667341
1.050,0.282948278,0.188755538
1.060,0.274168185,0.193843285
1.070,0.26553021,0.199794306
1.080,0.259474807,0.206122606
1.090,0.255566754,0.212434067
1.100,0.257799921,0.218107467
1.110,0.260787786,0.222361541
1.120,0.263120677,0.224526326
1.130,0.264861666,0.224206282
1.140,0.265927813,0.221057235
1.150,0.266397197,0.225894275
1.160,0.266363689,0.233330199
1.170,0.266091406,0.239688613
1.180,0.265422135,0.244523459
1.190,0.264354229,0.24751934
1.200,0.262840917,0.248602244
1.210,0.260971837,0.247512549
1.220,0.258478888,0.249772442
1.230,0.255252279,0.249945118
1.240,0.251240843,0.247718126
1.250,0.246550748,0.243577453
1.260,0.241255883,0.238439753
1.270,0.235423173,0.23290968
1.280,0.229283868,0.227705293
1.290,0.223245687,0.223359064
1.300,0.217323674,0.220434324
1.310,0.211939595,0.219022304
1.320,0.207052076,0.219304417
1.330,0.202984218,0.221198976
1.340,0.199576781,0.224387637
1.350,0.19880961,0.228606479
1.360,0.198943746,0.233384204
1.370,0.199930501,0.238442899
1.380,0.200996741,0.243360456
1.390,0.202177828,0.2478943
1.400,0.203496131,0.251857163
1.410,0.204908581,0.255112666
1.420,0.206287086,0.257566946
1.430,0.207441588,0.259158991
1.440,0.208173747,0.259851947
1.450,0.208341804,0.259646729
1.460,0.207910162,0.258587104
1.470,0.206964571,0.256621171
1.480,0.205688883,0.253767978
1.490,0.204312695,0.250056739
1.500,0.203046753,0.245531314
1.510,0.20206849,0.240307432
1.520,0.202846388,0.234342434
1.530,0.205254356,0.227690899
1.540,0.207520189,0.220423619
1.550,0.209702781,0.212634712
1.560,0.211707112,0.204445843
1.570,0.213479262,0.200863342
1.580,0.214981729,0.207478515
1.590,0.21620405,0.213775055
1.600,0.217148877,0.219572431
1.610,0.218328869,0.224796023
1.620,0.225077244,0.22936633
1.630,0.231265637,0.233310574
1.640,0.236857173,0.236860695
1.650,0.241852914,0.240138755
1.660,0.246270683,0.244569727
1.670,0.250118741,0.249857976
1.680,0.253436831,0.255101372
1.690,0.256272515,0.259967114
1.700,0.258672334,0.264150555
1.710,0.260690858,0.267335415
1.720,0.262441487,0.269119663
1.730,0.263856714,0.269290216
1.740,0.265012952,0.269610909
1.750,0.265942061,0.274499985
1.760,0.266672928,0.278253586
1.770,0.2672085,0.280735812
1.780,0.267612267,0.281747885
1.790,0.268627708,0.281178285
1.800,0.271018406,0.279168917
1.810,0.273034588,0.275748921
1.820,0.274649839,0.273892235
1.830,0.275851612,0.27796982
1.840,0.276637699,0.281176662
1.850,0.277015973,0.283570218
1.860,0.277003325,0.285232185
1.870,0.276624787,0.286144479
1.880,0.276606166,0.286465418
1.890,0.283206466,0.286233765
1.900,0.289829624,0.285548099
1.910,0.296707902,0.290779394
1.920,0.30395579,0.296221938
1.930,0.31159551,0.299912864
1.940,0.319522579,0.301648251
1.950,0.3275881,0.301341898
1.960,0.335510071,0.298796106
1.970,0.343001715,0.294173775
1.980,0.349753011,0.300586053
1.990,0.35563173,0.306782493
2.000,0.360395069,0.312179624
2.010,0.363970737,0.316676076
2.020,0.366378293,0.320191733
2.030,0.367758667,0.323662242
2.040,0.368347027,0.327286429
2.050,0.368351636,0.329598715
2.060,0.368181983,0.33086968
2.070,0.368129362,0.331333075
2.080,0.368607146,0.331818524
2.090,0.369786924,0.33157864
2.100,0.371850163,0.330469217
2.110,0.374871243,0.328428308
2.120,0.378636019,0.33097749
2.130,0.382987007,0.334970209
2.140,0.387505288,0.337004088
2.150,0.392248284,0.337040772
2.160,0.398373511,0.335258353
2.170,0.403678835,0.331882162
2.180,0.407833087,0.328108372
2.190,0.410554325,0.323442824
2.200,0.411628068,0.318050436
2.210,0.410911586,0.312090778
2.220,0.408333201,0.311816495
2.230,0.403890187,0.31153428
2.240,0.398766064,0.310861829
2.250,0.394002685,0.309808204
2.260,0.387770132,0.30846199
2.270,0.383028742,0.306790083
2.280,0.377365262,0.304805206
2.290,0.372904507,0.302555186
2.300,0.36794038,0.300089727
2.310,0.361948699,0.297415168
2.320,0.355050853,0.294826946
2.330,0.347364947,0.292094564
2.340,0.339024496,0.289232028
2.350,0.330166592,0.286260119
2.360,0.320818137,0.28317642
2.370,0.31105869,0.27998763
2.380,0.301016129,0.276699296
2.390,0.290644957,0.273316325
2.400,0.282813712,0.269842784
2.410,0.278521435,0.266281752
2.420,0.274936122,0.262635532
2.430,0.271230083,0.258906073
2.440,0.267307136,0.255095431
2.450,0.26314084,0.251205847
2.460,0.258716707,0.247240053
2.470,0.253939517,0.243206001
2.480,0.248855686,0.239105874
2.490,0.243366826,0.234938201
2.500,0.237501347,0.230706707
2.510,0.231248959,0.226416004
2.520,0.224593588,0.222071728
2.530,0.217624032,0.218266071
2.540,0.210321548,0.21564741
2.550,0.202740404,0.212956653
2.560,0.197326179,0.210197525
2.570,0.192304643,0.20737374
2.580,0.186950865,0.204492775
2.590,0.181303973,0.201578467
2.600,0.175414548,0.198609624
2.610,0.169336172,0.19558949
2.620,0.163123738,0.192521316
2.630,0.159099391,0.189411483
2.640,0.157554804,0.18628639
2.650,0.155752196,0.183123391
2.660,0.153708729,0.179926398
2.670,0.151457115,0.176699296
2.680,0.149006985,0.173467035
2.690,0.146372645,0.17022095
2.700,0.143572377,0.166955326
2.710,0.140623956,0.163673249
2.720,0.137559794,0.16041269
2.730,0.134398105,0.157142339
2.740,0.131139275,0.153864353
2.750,0.127802028,0.150619464
2.760,0.124431943,0.147374165
2.770,0.12100821,0.144144742
2.780,0.117563249,0.140945281
2.790,0.114113118,0.137753694
2.800,0.110657116,0.134610849
2.810,0.107229387,0.131475981
2.820,0.103821674,0.128397527
2.830,0.100458241,0.125334403
2.840,0.097150375,0.122324976
2.850,0.09389568,0.119344686
2.860,0.090722719,0.116406195
2.870,0.087634752,0.113516116
2.880,0.084634809,0.111319405
2.890,0.081733437,0.1095968
2.900,0.079984629,0.107882442
2.910,0.078969617,0.106191866
2.920,0.077854072,0.104499851
2.930,0.076654419,0.10283866
2.940,0.07536322,0.101174945
2.950,0.074008267,0.099537263
2.960,0.072590824,0.097899449
2.970,0.071121014,0.096285796
2.980,0.070634768,0.094670898
2.990,0.070078357,0.093080821
3.000,0.069447434,0.091485738
3.010,0.068743681,0.090027305
3.020,0.067981572,0.088978671
3.030,0.067158897,0.087949898
3.040,0.066276236,0.086922246
3.050,0.065339889,0.085914721
3.060,0.064367223,0.084905915
3.070,0.063357441,0.083917388
3.080,0.062314549,0.082925504
3.090,0.061246055,0.081953829
3.100,0.060159399,0.080978327
3.110,0.059069787,0.080504011
3.120,0.057975639,0.080113155
3.130,0.05688291,0.079722376
3.140,0.055797843,0.079337084
3.150,0.054726245,0.078960991
3.160,0.05367346,0.078584289
3.170,0.05264435,0.078206842
3.180,0.05164329,0.077838996
3.190,0.050674166,0.077474153
3.200,0.049740381,0.077107937
3.210,0.048844866,0.076741494
3.220,0.047990093,0.076386441
3.230,0.047178088,0.076029397
3.240,0.04641045,0.075670213
3.250,0.045688366,0.075316258
3.260,0.04561941,0.074966283
3.270,0.045588587,0.074613465
3.280,0.045561372,0.074258882
3.290,0.045536205,0.073913626
3.300,0.04551167,0.073564694
3.310,0.045486482,0.07321183
3.320,0.045459489,0.072865724
3.330,0.045429668,0.072517802
3.340,0.045396116,0.072164936
3.350,0.045358047,0.071815731
3.360,0.045314784,0.071465631
3.370,0.045265751,0.071109516
3.380,0.045210464,0.070755855
3.390,0.045148518,0.070400294
3.400,0.045079583,0.070037675
3.410,0.045003388,0.069677792
3.420,0.044923823,0.069313627
3.430,0.044836847,0.068941455
3.440,0.044742225,0.068573101
3.450,0.044639813,0.068197502
3.460,0.044529476,0.067813637
3.470,0.044411084,0.067433523
3.480,0.044284501,0.067044106
3.490,0.04414958,0.066646799
3.500,0.044007725,0.066251531
3.510,0.04386128,0.065846491
3.520,0.043706011,0.065433144
3.530,0.04354166,0.06502136
3.540,0.043367935,0.064599597
3.550,0.043184516,0.064168588
3.560,0.042991047,0.063739699
3.570,0.042791216,0.063300907
3.580,0.042582916,0.062852374
3.590,0.042363398,0.062405685
3.600,0.042132223,0.06195035
3.610,0.041888949,0.061485709
3.620,0.041633142,0.061020623
3.630,0.041370834,0.060549916
3.640,0.04109553,0.060070543
3.650,0.04085474,0.059587572
3.660,0.040792281,0.059103181
3.670,0.040708104,0.058610907
3.680,0.040602824,0.058111114
3.690,0.040479271,0.057614928
3.700,0.040331069,0.057111865
3.710,0.040157478,0.056602167
3.720,0.039957933,0.056090722
3.730,0.039739207,0.055579121
3.740,0.039494636,0.055061787
3.750,0.03922347,0.054539105
3.760,0.038925871,0.054018596
3.770,0.038608547,0.053495863
3.780,0.038266985,0.052968639
3.790,0.037900458,0.052437277
3.800,0.037509871,0.051909891
3.810,0.037101294,0.051380121
3.820,0.036672919,0.050846948
3.830,0.036223937,0.050310672
3.840,0.035755892,0.049778145
3.850,0.035271921,0.049244726
3.860,0.03477663,0.048708769
3.870,0.034267234,0.048170509
3.880,0.033745692,0.04763426
3.890,0.033214025,0.047099689
3.900,0.032674298,0.046563215
3.910,0.032131077,0.046025023
3.920,0.031584929,0.045486336
3.930,0.031036539,0.044952314
3.940,0.030487957,0.044416863
3.950,0.029941188,0.044172059
3.960,0.029398177,0.044057841
3.970,0.028860789,0.04393999
3.980,0.028330806,0.043823728
3.990,0.027809906,0.043704416
4.000,0.027299661,0.043582233
4.010,0.026906473,0.043461467
4.020,0.02680834,0.04333715
4.030,0.026708246,0.043573874
4.040,0.026606292,0.043807714
4.050,0.026502587,0.044031234
4.060,0.026397243,0.044241722
4.070,0.026290382,0.044437229
4.080,0.026182128,0.044619865
4.090,0.026072608,0.04479206
4.100,0.025961955,0.044949157
4.110,0.025850303,0.045092184
4.120,0.025738156,0.045226108
4.130,0.025626414,0.045344894
4.140,0.02551405,0.045449415
4.150,0.025401205,0.045545251
4.160,0.025288016,0.045625977
4.170,0.025174623,0.045692873
4.180,0.025061163,0.045750949
4.190,0.024947767,0.045794016
4.200,0.024834568,0.045824066
4.210,0.024721689,0.045844878
4.220,0.024609252,0.045850859
4.230,0.024497369,0.045844755
4.240,0.024386149,0.045829
4.250,0.024275691,0.045798689
4.260,0.024166087,0.045757031
4.270,0.024057419,0.045705658
4.280,0.023950573,0.045640112
4.290,0.02384504,0.045563485
4.300,0.023740613,0.045477723
4.310,0.023637343,0.045378281
4.320,0.023535269,0.04526745
4.330,0.023434425,0.045148808
4.340,0.023334835,0.045017076
4.350,0.023236515,0.044872988
4.360,0.023139478,0.044723218
4.370,0.023043725,0.044561034
4.380,0.022949256,0.044386706
4.390,0.022856064,0.044205749
4.400,0.022764135,0.044015117
4.410,0.022673456,0.043813096
4.420,0.022584005,0.043601532
4.430,0.022495761,0.043384572
4.440,0.022408696,0.043157013
4.450,0.022322784,0.042919162
4.460,0.022238001,0.042674939
4.470,0.022155149,0.042424055
4.480,0.022073344,0.042163703
4.490,0.021992551,0.041894205
4.500,0.02191273,0.04162004
4.510,0.021833843,0.041339462
4.520,0.021755847,0.041050589
4.530,0.021678699,0.040753752
4.540,0.021602354,0.0404524
4.550,0.021526763,0.04014648
4.560,0.021451879,0.039833468
4.570,0.021377649,0.039513705
4.580,0.021304022,0.039187908
4.590,0.021230943,0.038861088
4.600,0.021158357,0.038528395
4.610,0.021086207,0.038190171
4.620,0.021014436,0.037846754
4.630,0.020942986,0.037499366
4.640,0.020871895,0.037151427
4.650,0.020801806,0.036799148
4.660,0.020731864,0.036442853
4.670,0.020662013,0.036082861
4.680,0.020592199,0.035719486
4.690,0.020522366,0.035356112
4.700,0.020452465,0.034991047
4.710,0.020382444,0.034623352
4.720,0.020312258,0.034253312
4.730,0.020241862,0.033881203
4.740,0.020171216,0.033507289
4.750,0.020100283,0.033133573
4.760,0.020029028,0.032760328
4.770,0.019957421,0.032385894
